comparison,train_model,test_model,prototype_method,feature,acc,f1,observed_raw_f1,observed_aligned_f1,gain_vs_observed_aligned_f1
within_model,bert-base-uncased,bert-base-uncased,mdv_raw,delta_only,0.724,0.7082936551768151,,,
within_model,bert-base-uncased,bert-base-uncased,mdv_raw,mdv_raw_prototype_scores,0.672,0.6355258934176926,,,
within_model,bert-base-uncased,bert-base-uncased,mdv_raw,mdv_raw_hybrid_delta_scores,0.696,0.6585551546020387,,,
within_model,bert-base-uncased,bert-base-uncased,mdv_unit,delta_only,0.724,0.7082936551768151,,,
within_model,bert-base-uncased,bert-base-uncased,mdv_unit,mdv_unit_prototype_scores,0.676,0.6818146780767307,,,
within_model,bert-base-uncased,bert-base-uncased,mdv_unit,mdv_unit_hybrid_delta_scores,0.66,0.6324182381866136,,,
within_model,bert-base-uncased,bert-base-uncased,rise_style,delta_only,0.724,0.7082936551768151,,,
within_model,bert-base-uncased,bert-base-uncased,rise_style,rise_style_prototype_scores,0.67,0.6767793049251802,,,
within_model,bert-base-uncased,bert-base-uncased,rise_style,rise_style_hybrid_delta_scores,0.66,0.6319197491093327,,,
within_model,roberta-base,roberta-base,mdv_raw,delta_only,0.714,0.6772675557454505,,,
within_model,roberta-base,roberta-base,mdv_raw,mdv_raw_prototype_scores,0.626,0.5777716370771145,,,
within_model,roberta-base,roberta-base,mdv_raw,mdv_raw_hybrid_delta_scores,0.576,0.5201184310942477,,,
within_model,roberta-base,roberta-base,mdv_unit,delta_only,0.714,0.6772675557454505,,,
within_model,roberta-base,roberta-base,mdv_unit,mdv_unit_prototype_scores,0.586,0.5495753858296444,,,
within_model,roberta-base,roberta-base,mdv_unit,mdv_unit_hybrid_delta_scores,0.558,0.5104884427176304,,,
within_model,roberta-base,roberta-base,rise_style,delta_only,0.714,0.6772675557454505,,,
within_model,roberta-base,roberta-base,rise_style,rise_style_prototype_scores,0.588,0.551473747646243,,,
within_model,roberta-base,roberta-base,rise_style,rise_style_hybrid_delta_scores,0.558,0.5094281162917339,,,
within_model,distilroberta-base,distilroberta-base,mdv_raw,delta_only,0.736,0.7229892366222064,,,
within_model,distilroberta-base,distilroberta-base,mdv_raw,mdv_raw_prototype_scores,0.566,0.5368152250220241,,,
within_model,distilroberta-base,distilroberta-base,mdv_raw,mdv_raw_hybrid_delta_scores,0.59,0.5418494927454663,,,
within_model,distilroberta-base,distilroberta-base,mdv_unit,delta_only,0.736,0.7229892366222064,,,
within_model,distilroberta-base,distilroberta-base,mdv_unit,mdv_unit_prototype_scores,0.528,0.5014978088988129,,,
within_model,distilroberta-base,distilroberta-base,mdv_unit,mdv_unit_hybrid_delta_scores,0.478,0.4458188070590479,,,
within_model,distilroberta-base,distilroberta-base,rise_style,delta_only,0.736,0.7229892366222064,,,
within_model,distilroberta-base,distilroberta-base,rise_style,rise_style_prototype_scores,0.532,0.507477750696053,,,
within_model,distilroberta-base,distilroberta-base,rise_style,rise_style_hybrid_delta_scores,0.48,0.4475332475332475,,,
within_model,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,mdv_raw,delta_only,0.792,0.7763727161838034,,,
within_model,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,mdv_raw,mdv_raw_prototype_scores,0.79,0.7648632948147988,,,
within_model,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,mdv_raw,mdv_raw_hybrid_delta_scores,0.766,0.7167820486378353,,,
within_model,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,mdv_unit,delta_only,0.792,0.7763727161838034,,,
within_model,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,mdv_unit,mdv_unit_prototype_scores,0.696,0.6704832591126505,,,
within_model,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,mdv_unit,mdv_unit_hybrid_delta_scores,0.692,0.6471580055924755,,,
within_model,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,rise_style,delta_only,0.792,0.7763727161838034,,,
within_model,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,rise_style,rise_style_prototype_scores,0.69,0.6634214098537926,,,
within_model,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,rise_style,rise_style_hybrid_delta_scores,0.692,0.644607978310106,,,
within_model,sentence-transformers/all-mpnet-base-v2,sentence-transformers/all-mpnet-base-v2,mdv_raw,delta_only,0.762,0.7145861261882733,,,
within_model,sentence-transformers/all-mpnet-base-v2,sentence-transformers/all-mpnet-base-v2,mdv_raw,mdv_raw_prototype_scores,0.742,0.6604145482924225,,,
within_model,sentence-transformers/all-mpnet-base-v2,sentence-transformers/all-mpnet-base-v2,mdv_raw,mdv_raw_hybrid_delta_scores,0.75,0.6680084631833325,,,
within_model,sentence-transformers/all-mpnet-base-v2,sentence-transformers/all-mpnet-base-v2,mdv_unit,delta_only,0.762,0.7145861261882733,,,
