model,ridge_alpha,heldout_language,method,operator,target_cosine,mse,n_test
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,en,linear,N,0.8572531637153775,0.015399421189887588,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,en,affine,N,0.8587666749954224,0.015425832942128181,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,en,linear,Q,0.8152612025171694,0.017776980046090886,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,en,affine,Q,0.8205693364143372,0.017499160021543503,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,en,linear,M,0.9168795724897733,0.012465008637223874,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,en,affine,M,0.9181739687919617,0.012525583617389202,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,en,linear,T,0.9165199178394143,0.012644041999249433,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,en,affine,T,0.9182402491569519,0.01270882785320282,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,es,linear,N,0.8568687238437971,0.012928358898147512,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,es,affine,N,0.8521135449409485,0.012227109633386135,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,es,linear,Q,0.8800430261401082,0.00894747282498954,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,es,affine,Q,0.8770791292190552,0.008866868913173676,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,es,linear,M,0.8553851665748811,0.01055556127798168,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,es,affine,M,0.8472028970718384,0.01060538925230503,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,es,linear,T,0.8819968421221688,0.010102490585569905,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,es,affine,T,0.8660508394241333,0.010256936773657799,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,fr,linear,N,0.8650034863482853,0.011557546751855233,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,fr,affine,N,0.8620861172676086,0.01103698369115591,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,fr,linear,Q,0.8249708389307949,0.009651211611358538,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,fr,affine,Q,0.825522780418396,0.009521955624222755,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,fr,linear,M,0.8824641002787331,0.007733943392521142,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,fr,affine,M,0.8755205869674683,0.007804823108017445,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,fr,linear,T,0.8975080115192059,0.007702007891536517,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,fr,affine,T,0.891440212726593,0.007622840814292431,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,de,linear,N,0.8519625939427302,0.013023591309469822,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,de,affine,N,0.8620931506156921,0.011334022507071495,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,de,linear,Q,0.8526510780821897,0.009713715696285447,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,de,affine,Q,0.855087161064148,0.009302908554673195,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,de,linear,M,0.8789412422251497,0.007288430867562884,160
