split,class,source,target
train,question,The analyst published the note for the team.,The analyst published the note for the team?
train,exclamation,The analyst published the note for the team.,The analyst published the note for the team!
train,ellipsis,The analyst published the note for the team.,The analyst published the note for the team...
train,question,The pilot updated the report before lunch.,The pilot updated the report before lunch?
train,exclamation,The pilot updated the report before lunch.,The pilot updated the report before lunch!
train,ellipsis,The pilot updated the report before lunch.,The pilot updated the report before lunch...
train,question,The writer tested the system near the station.,The writer tested the system near the station?
train,exclamation,The writer tested the system near the station.,The writer tested the system near the station!
train,ellipsis,The writer tested the system near the station.,The writer tested the system near the station...
train,question,The musician cleaned the dataset near the station.,The musician cleaned the dataset near the station?
train,exclamation,The musician cleaned the dataset near the station.,The musician cleaned the dataset near the station!
train,ellipsis,The musician cleaned the dataset near the station.,The musician cleaned the dataset near the station...
train,question,The gardener checked the result before lunch.,The gardener checked the result before lunch?
train,exclamation,The gardener checked the result before lunch.,The gardener checked the result before lunch!
train,ellipsis,The gardener checked the result before lunch.,The gardener checked the result before lunch...
train,question,The manager published the note during the session.,The manager published the note during the session?
train,exclamation,The manager published the note during the session.,The manager published the note during the session!
train,ellipsis,The manager published the note during the session.,The manager published the note during the session...
train,question,The writer fixed the problem near the station.,The writer fixed the problem near the station?
train,exclamation,The writer fixed the problem near the station.,The writer fixed the problem near the station!
train,ellipsis,The writer fixed the problem near the station.,The writer fixed the problem near the station...
train,question,The engineer cleaned the dataset without delay.,The engineer cleaned the dataset without delay?
train,exclamation,The engineer cleaned the dataset without delay.,The engineer cleaned the dataset without delay!
train,ellipsis,The engineer cleaned the dataset without delay.,The engineer cleaned the dataset without delay...
train,question,The manager fixed the problem with care.,The manager fixed the problem with care?
train,exclamation,The manager fixed the problem with care.,The manager fixed the problem with care!
train,ellipsis,The manager fixed the problem with care.,The manager fixed the problem with care...
train,question,The doctor reviewed the plan after the meeting.,The doctor reviewed the plan after the meeting?
train,exclamation,The doctor reviewed the plan after the meeting.,The doctor reviewed the plan after the meeting!
train,ellipsis,The doctor reviewed the plan after the meeting.,The doctor reviewed the plan after the meeting...
train,question,The engineer completed the task in the lab.,The engineer completed the task in the lab?
train,exclamation,The engineer completed the task in the lab.,The engineer completed the task in the lab!
train,ellipsis,The engineer completed the task in the lab.,The engineer completed the task in the lab...
train,question,The musician tested the system for the team.,The musician tested the system for the team?
train,exclamation,The musician tested the system for the team.,The musician tested the system for the team!
train,ellipsis,The musician tested the system for the team.,The musician tested the system for the team...
train,question,The gardener tested the system during the session.,The gardener tested the system during the session?
train,exclamation,The gardener tested the system during the session.,The gardener tested the system during the session!
train,ellipsis,The gardener tested the system during the session.,The gardener tested the system during the session...
train,question,The researcher cleaned the dataset today.,The researcher cleaned the dataset today?
train,exclamation,The researcher cleaned the dataset today.,The researcher cleaned the dataset today!
train,ellipsis,The researcher cleaned the dataset today.,The researcher cleaned the dataset today...
train,question,The doctor explained the pattern near the station.,The doctor explained the pattern near the station?
train,exclamation,The doctor explained the pattern near the station.,The doctor explained the pattern near the station!
train,ellipsis,The doctor explained the pattern near the station.,The doctor explained the pattern near the station...
train,question,The writer explained the pattern today.,The writer explained the pattern today?
train,exclamation,The writer explained the pattern today.,The writer explained the pattern today!
train,ellipsis,The writer explained the pattern today.,The writer explained the pattern today...
train,question,The musician completed the task on Monday.,The musician completed the task on Monday?
train,exclamation,The musician completed the task on Monday.,The musician completed the task on Monday!
train,ellipsis,The musician completed the task on Monday.,The musician completed the task on Monday...
train,question,The pilot published the note without delay.,The pilot published the note without delay?
train,exclamation,The pilot published the note without delay.,The pilot published the note without delay!
train,ellipsis,The pilot published the note without delay.,The pilot published the note without delay...
train,question,The manager published the note after the meeting.,The manager published the note after the meeting?
train,exclamation,The manager published the note after the meeting.,The manager published the note after the meeting!
train,ellipsis,The manager published the note after the meeting.,The manager published the note after the meeting...
train,question,The manager updated the report for the team.,The manager updated the report for the team?
train,exclamation,The manager updated the report for the team.,The manager updated the report for the team!
train,ellipsis,The manager updated the report for the team.,The manager updated the report for the team...
train,question,The pilot fixed the problem on Monday.,The pilot fixed the problem on Monday?
train,exclamation,The pilot fixed the problem on Monday.,The pilot fixed the problem on Monday!
train,ellipsis,The pilot fixed the problem on Monday.,The pilot fixed the problem on Monday...
train,question,The writer reviewed the plan today.,The writer reviewed the plan today?
train,exclamation,The writer reviewed the plan today.,The writer reviewed the plan today!
train,ellipsis,The writer reviewed the plan today.,The writer reviewed the plan today...
train,question,The doctor opened the archive today.,The doctor opened the archive today?
train,exclamation,The doctor opened the archive today.,The doctor opened the archive today!
train,ellipsis,The doctor opened the archive today.,The doctor opened the archive today...
train,question,The artist designed the prototype in the lab.,The artist designed the prototype in the lab?
train,exclamation,The artist designed the prototype in the lab.,The artist designed the prototype in the lab!
train,ellipsis,The artist designed the prototype in the lab.,The artist designed the prototype in the lab...
train,question,The student cleaned the dataset near the station.,The student cleaned the dataset near the station?
train,exclamation,The student cleaned the dataset near the station.,The student cleaned the dataset near the station!
train,ellipsis,The student cleaned the dataset near the station.,The student cleaned the dataset near the station...
train,question,The writer checked the result without delay.,The writer checked the result without delay?
train,exclamation,The writer checked the result without delay.,The writer checked the result without delay!
train,ellipsis,The writer checked the result without delay.,The writer checked the result without delay...
train,question,The artist fixed the problem for the team.,The artist fixed the problem for the team?
train,exclamation,The artist fixed the problem for the team.,The artist fixed the problem for the team!
train,ellipsis,The artist fixed the problem for the team.,The artist fixed the problem for the team...
train,question,The pilot fixed the problem today.,The pilot fixed the problem today?
train,exclamation,The pilot fixed the problem today.,The pilot fixed the problem today!
train,ellipsis,The pilot fixed the problem today.,The pilot fixed the problem today...
train,question,The gardener checked the result with care.,The gardener checked the result with care?
train,exclamation,The gardener checked the result with care.,The gardener checked the result with care!
train,ellipsis,The gardener checked the result with care.,The gardener checked the result with care...
train,question,The researcher reviewed the plan after the meeting.,The researcher reviewed the plan after the meeting?
train,exclamation,The researcher reviewed the plan after the meeting.,The researcher reviewed the plan after the meeting!
train,ellipsis,The researcher reviewed the plan after the meeting.,The researcher reviewed the plan after the meeting...
train,question,The pilot completed the task today.,The pilot completed the task today?
train,exclamation,The pilot completed the task today.,The pilot completed the task today!
train,ellipsis,The pilot completed the task today.,The pilot completed the task today...
train,question,The analyst explained the pattern in the lab.,The analyst explained the pattern in the lab?
train,exclamation,The analyst explained the pattern in the lab.,The analyst explained the pattern in the lab!
train,ellipsis,The analyst explained the pattern in the lab.,The analyst explained the pattern in the lab...
train,question,The teacher updated the report after the meeting.,The teacher updated the report after the meeting?
train,exclamation,The teacher updated the report after the meeting.,The teacher updated the report after the meeting!
train,ellipsis,The teacher updated the report after the meeting.,The teacher updated the report after the meeting...
train,question,The analyst completed the task today.,The analyst completed the task today?
train,exclamation,The analyst completed the task today.,The analyst completed the task today!
train,ellipsis,The analyst completed the task today.,The analyst completed the task today...
train,question,The doctor explained the pattern for the team.,The doctor explained the pattern for the team?
train,exclamation,The doctor explained the pattern for the team.,The doctor explained the pattern for the team!
train,ellipsis,The doctor explained the pattern for the team.,The doctor explained the pattern for the team...
train,question,The engineer updated the report with care.,The engineer updated the report with care?
train,exclamation,The engineer updated the report with care.,The engineer updated the report with care!
train,ellipsis,The engineer updated the report with care.,The engineer updated the report with care...
train,question,The researcher tested the system before lunch.,The researcher tested the system before lunch?
train,exclamation,The researcher tested the system before lunch.,The researcher tested the system before lunch!
train,ellipsis,The researcher tested the system before lunch.,The researcher tested the system before lunch...
train,question,The manager tested the system before lunch.,The manager tested the system before lunch?
train,exclamation,The manager tested the system before lunch.,The manager tested the system before lunch!
train,ellipsis,The manager tested the system before lunch.,The manager tested the system before lunch...
train,question,The manager cleaned the dataset with care.,The manager cleaned the dataset with care?
train,exclamation,The manager cleaned the dataset with care.,The manager cleaned the dataset with care!
train,ellipsis,The manager cleaned the dataset with care.,The manager cleaned the dataset with care...
train,question,The gardener fixed the problem after the meeting.,The gardener fixed the problem after the meeting?
train,exclamation,The gardener fixed the problem after the meeting.,The gardener fixed the problem after the meeting!
train,ellipsis,The gardener fixed the problem after the meeting.,The gardener fixed the problem after the meeting...
train,question,The manager tested the system near the station.,The manager tested the system near the station?
train,exclamation,The manager tested the system near the station.,The manager tested the system near the station!
train,ellipsis,The manager tested the system near the station.,The manager tested the system near the station...
train,question,The gardener cleaned the dataset after the meeting.,The gardener cleaned the dataset after the meeting?
train,exclamation,The gardener cleaned the dataset after the meeting.,The gardener cleaned the dataset after the meeting!
train,ellipsis,The gardener cleaned the dataset after the meeting.,The gardener cleaned the dataset after the meeting...
train,question,The researcher explained the pattern during the session.,The researcher explained the pattern during the session?
train,exclamation,The researcher explained the pattern during the session.,The researcher explained the pattern during the session!
train,ellipsis,The researcher explained the pattern during the session.,The researcher explained the pattern during the session...
train,question,The pilot published the note after the meeting.,The pilot published the note after the meeting?
train,exclamation,The pilot published the note after the meeting.,The pilot published the note after the meeting!
train,ellipsis,The pilot published the note after the meeting.,The pilot published the note after the meeting...
train,question,The writer cleaned the dataset without delay.,The writer cleaned the dataset without delay?
train,exclamation,The writer cleaned the dataset without delay.,The writer cleaned the dataset without delay!
train,ellipsis,The writer cleaned the dataset without delay.,The writer cleaned the dataset without delay...
train,question,The teacher reviewed the plan for the team.,The teacher reviewed the plan for the team?
train,exclamation,The teacher reviewed the plan for the team.,The teacher reviewed the plan for the team!
train,ellipsis,The teacher reviewed the plan for the team.,The teacher reviewed the plan for the team...
train,question,The analyst updated the report for the team.,The analyst updated the report for the team?
train,exclamation,The analyst updated the report for the team.,The analyst updated the report for the team!
train,ellipsis,The analyst updated the report for the team.,The analyst updated the report for the team...
train,question,The manager published the note with care.,The manager published the note with care?
train,exclamation,The manager published the note with care.,The manager published the note with care!
train,ellipsis,The manager published the note with care.,The manager published the note with care...
train,question,The teacher opened the archive after the meeting.,The teacher opened the archive after the meeting?
train,exclamation,The teacher opened the archive after the meeting.,The teacher opened the archive after the meeting!
train,ellipsis,The teacher opened the archive after the meeting.,The teacher opened the archive after the meeting...
train,question,The student reviewed the plan after the meeting.,The student reviewed the plan after the meeting?
train,exclamation,The student reviewed the plan after the meeting.,The student reviewed the plan after the meeting!
train,ellipsis,The student reviewed the plan after the meeting.,The student reviewed the plan after the meeting...
train,question,The musician cleaned the dataset today.,The musician cleaned the dataset today?
train,exclamation,The musician cleaned the dataset today.,The musician cleaned the dataset today!
train,ellipsis,The musician cleaned the dataset today.,The musician cleaned the dataset today...
train,question,The engineer designed the prototype for the team.,The engineer designed the prototype for the team?
train,exclamation,The engineer designed the prototype for the team.,The engineer designed the prototype for the team!
train,ellipsis,The engineer designed the prototype for the team.,The engineer designed the prototype for the team...
train,question,The writer completed the task on Monday.,The writer completed the task on Monday?
train,exclamation,The writer completed the task on Monday.,The writer completed the task on Monday!
train,ellipsis,The writer completed the task on Monday.,The writer completed the task on Monday...
train,question,The student fixed the problem during the session.,The student fixed the problem during the session?
train,exclamation,The student fixed the problem during the session.,The student fixed the problem during the session!
train,ellipsis,The student fixed the problem during the session.,The student fixed the problem during the session...
train,question,The analyst designed the prototype on Monday.,The analyst designed the prototype on Monday?
train,exclamation,The analyst designed the prototype on Monday.,The analyst designed the prototype on Monday!
train,ellipsis,The analyst designed the prototype on Monday.,The analyst designed the prototype on Monday...
train,question,The musician published the note before lunch.,The musician published the note before lunch?
train,exclamation,The musician published the note before lunch.,The musician published the note before lunch!
train,ellipsis,The musician published the note before lunch.,The musician published the note before lunch...
train,question,The teacher checked the result near the station.,The teacher checked the result near the station?
train,exclamation,The teacher checked the result near the station.,The teacher checked the result near the station!
train,ellipsis,The teacher checked the result near the station.,The teacher checked the result near the station...
train,question,The engineer designed the prototype before lunch.,The engineer designed the prototype before lunch?
train,exclamation,The engineer designed the prototype before lunch.,The engineer designed the prototype before lunch!
train,ellipsis,The engineer designed the prototype before lunch.,The engineer designed the prototype before lunch...
train,question,The researcher updated the report for the team.,The researcher updated the report for the team?
train,exclamation,The researcher updated the report for the team.,The researcher updated the report for the team!
train,ellipsis,The researcher updated the report for the team.,The researcher updated the report for the team...
train,question,The manager reviewed the plan before lunch.,The manager reviewed the plan before lunch?
train,exclamation,The manager reviewed the plan before lunch.,The manager reviewed the plan before lunch!
train,ellipsis,The manager reviewed the plan before lunch.,The manager reviewed the plan before lunch...
train,question,The musician designed the prototype before lunch.,The musician designed the prototype before lunch?
train,exclamation,The musician designed the prototype before lunch.,The musician designed the prototype before lunch!
train,ellipsis,The musician designed the prototype before lunch.,The musician designed the prototype before lunch...
train,question,The researcher designed the prototype on Monday.,The researcher designed the prototype on Monday?
train,exclamation,The researcher designed the prototype on Monday.,The researcher designed the prototype on Monday!
train,ellipsis,The researcher designed the prototype on Monday.,The researcher designed the prototype on Monday...
train,question,The teacher measured the signal on Monday.,The teacher measured the signal on Monday?
train,exclamation,The teacher measured the signal on Monday.,The teacher measured the signal on Monday!
train,ellipsis,The teacher measured the signal on Monday.,The teacher measured the signal on Monday...
train,question,The artist tested the system today.,The artist tested the system today?
train,exclamation,The artist tested the system today.,The artist tested the system today!
train,ellipsis,The artist tested the system today.,The artist tested the system today...
train,question,The engineer completed the task near the station.,The engineer completed the task near the station?
train,exclamation,The engineer completed the task near the station.,The engineer completed the task near the station!
train,ellipsis,The engineer completed the task near the station.,The engineer completed the task near the station...
train,question,The artist published the note after the meeting.,The artist published the note after the meeting?
train,exclamation,The artist published the note after the meeting.,The artist published the note after the meeting!
train,ellipsis,The artist published the note after the meeting.,The artist published the note after the meeting...
train,question,The teacher tested the system without delay.,The teacher tested the system without delay?
train,exclamation,The teacher tested the system without delay.,The teacher tested the system without delay!
train,ellipsis,The teacher tested the system without delay.,The teacher tested the system without delay...
train,question,The doctor cleaned the dataset during the session.,The doctor cleaned the dataset during the session?
train,exclamation,The doctor cleaned the dataset during the session.,The doctor cleaned the dataset during the session!
train,ellipsis,The doctor cleaned the dataset during the session.,The doctor cleaned the dataset during the session...
train,question,The musician completed the task with care.,The musician completed the task with care?
train,exclamation,The musician completed the task with care.,The musician completed the task with care!
train,ellipsis,The musician completed the task with care.,The musician completed the task with care...
train,question,The pilot explained the pattern with care.,The pilot explained the pattern with care?
train,exclamation,The pilot explained the pattern with care.,The pilot explained the pattern with care!
train,ellipsis,The pilot explained the pattern with care.,The pilot explained the pattern with care...
train,question,The doctor explained the pattern today.,The doctor explained the pattern today?
train,exclamation,The doctor explained the pattern today.,The doctor explained the pattern today!
train,ellipsis,The doctor explained the pattern today.,The doctor explained the pattern today...
train,question,The writer measured the signal today.,The writer measured the signal today?
train,exclamation,The writer measured the signal today.,The writer measured the signal today!
train,ellipsis,The writer measured the signal today.,The writer measured the signal today...
train,question,The artist explained the pattern near the station.,The artist explained the pattern near the station?
train,exclamation,The artist explained the pattern near the station.,The artist explained the pattern near the station!
train,ellipsis,The artist explained the pattern near the station.,The artist explained the pattern near the station...
train,question,The musician tested the system on Monday.,The musician tested the system on Monday?
train,exclamation,The musician tested the system on Monday.,The musician tested the system on Monday!
train,ellipsis,The musician tested the system on Monday.,The musician tested the system on Monday...
train,question,The artist completed the task with care.,The artist completed the task with care?
train,exclamation,The artist completed the task with care.,The artist completed the task with care!
train,ellipsis,The artist completed the task with care.,The artist completed the task with care...
train,question,The writer opened the archive for the team.,The writer opened the archive for the team?
train,exclamation,The writer opened the archive for the team.,The writer opened the archive for the team!
train,ellipsis,The writer opened the archive for the team.,The writer opened the archive for the team...
train,question,The artist fixed the problem during the session.,The artist fixed the problem during the session?
train,exclamation,The artist fixed the problem during the session.,The artist fixed the problem during the session!
train,ellipsis,The artist fixed the problem during the session.,The artist fixed the problem during the session...
train,question,The artist reviewed the plan in the lab.,The artist reviewed the plan in the lab?
train,exclamation,The artist reviewed the plan in the lab.,The artist reviewed the plan in the lab!
train,ellipsis,The artist reviewed the plan in the lab.,The artist reviewed the plan in the lab...
train,question,The gardener fixed the problem without delay.,The gardener fixed the problem without delay?
train,exclamation,The gardener fixed the problem without delay.,The gardener fixed the problem without delay!
train,ellipsis,The gardener fixed the problem without delay.,The gardener fixed the problem without delay...
train,question,The engineer measured the signal with care.,The engineer measured the signal with care?
train,exclamation,The engineer measured the signal with care.,The engineer measured the signal with care!
train,ellipsis,The engineer measured the signal with care.,The engineer measured the signal with care...
train,question,The gardener published the note for the team.,The gardener published the note for the team?
train,exclamation,The gardener published the note for the team.,The gardener published the note for the team!
train,ellipsis,The gardener published the note for the team.,The gardener published the note for the team...
train,question,The analyst reviewed the plan for the team.,The analyst reviewed the plan for the team?
train,exclamation,The analyst reviewed the plan for the team.,The analyst reviewed the plan for the team!
train,ellipsis,The analyst reviewed the plan for the team.,The analyst reviewed the plan for the team...
train,question,The pilot cleaned the dataset after the meeting.,The pilot cleaned the dataset after the meeting?
train,exclamation,The pilot cleaned the dataset after the meeting.,The pilot cleaned the dataset after the meeting!
train,ellipsis,The pilot cleaned the dataset after the meeting.,The pilot cleaned the dataset after the meeting...
train,question,The writer fixed the problem before lunch.,The writer fixed the problem before lunch?
