source,target,class,split
The oracle built the tower.,Someone asked whether the oracle built the tower.,question,test
The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,test
The vampire found the island.,Someone asked whether the vampire found the island.,question,test
The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,test
The spirit built the tower.,I wonder whether the spirit built the tower.,question,test
The oracle repaired the satellite.,Someone asked whether the oracle repaired the satellite.,question,test
The wizard built the tower.,Someone asked whether the wizard built the tower.,question,test
The alien created the artifact.,Nobody knew whether the alien had created the artifact.,question,test
The knight protected the village.,Someone asked whether the knight protected the village.,question,test
The druid opened the portal.,I wonder whether the druid opened the portal.,question,test
The wizard revealed the secret.,Someone asked whether the wizard revealed the secret.,question,test
The giant opened the portal.,Someone asked whether the giant opened the portal.,question,test
The sorcerer predicted the storm.,Someone asked whether the sorcerer predicted the storm.,question,test
The alien predicted the storm.,It is unclear whether the alien predicted the storm.,question,test
The giant guarded the treasure.,Nobody knew whether the giant had guarded the treasure.,question,test
The robot opened the portal.,It is unclear whether the robot opened the portal.,question,test
The griffin opened the portal.,It is unclear whether the griffin opened the portal.,question,test
The spirit created the artifact.,I wonder whether the spirit created the artifact.,question,test
The dragon signed the treaty.,Someone asked whether the dragon signed the treaty.,question,test
The phoenix opened the portal.,Someone asked whether the phoenix opened the portal.,question,test
The oracle found the island.,I wonder whether the oracle found the island.,question,test
The ranger guarded the treasure.,I wonder whether the ranger guarded the treasure.,question,test
The sorcerer revealed the secret.,Nobody knew whether the sorcerer had revealed the secret.,question,test
The ranger revealed the secret.,Nobody knew whether the ranger had revealed the secret.,question,test
The druid built the tower.,It is unclear whether the druid built the tower.,question,test
The phoenix protected the village.,I wonder whether the phoenix protected the village.,question,test
The vampire created the artifact.,It is unclear whether the vampire created the artifact.,question,test
The queen repaired the satellite.,I wonder whether the queen repaired the satellite.,question,test
The pirate opened the portal.,Someone asked whether the pirate opened the portal.,question,test
The vampire opened the portal.,Nobody knew whether the vampire had opened the portal.,question,test
The mermaid opened the portal.,Someone asked whether the mermaid opened the portal.,question,test
The titan signed the treaty.,Nobody knew whether the titan had signed the treaty.,question,test
The goblin repaired the satellite.,Someone asked whether the goblin repaired the satellite.,question,test
The knight created the artifact.,Nobody knew whether the knight had created the artifact.,question,test
The dragon opened the portal.,It is unclear whether the dragon opened the portal.,question,test
The vampire guarded the treasure.,I wonder whether the vampire guarded the treasure.,question,test
The pirate revealed the secret.,It is unclear whether the pirate revealed the secret.,question,test
The sorcerer guarded the treasure.,I wonder whether the sorcerer guarded the treasure.,question,test
The giant signed the treaty.,I wonder whether the giant signed the treaty.,question,test
The giant protected the village.,I wonder whether the giant protected the village.,question,test
The goblin created the artifact.,Someone asked whether the goblin created the artifact.,question,test
The robot created the artifact.,It is unclear whether the robot created the artifact.,question,test
The sphinx signed the treaty.,I wonder whether the sphinx signed the treaty.,question,test
The griffin built the tower.,Someone asked whether the griffin built the tower.,question,test
The sphinx predicted the storm.,Someone asked whether the sphinx predicted the storm.,question,test
The mermaid signed the treaty.,Nobody knew whether the mermaid had signed the treaty.,question,test
The ranger opened the portal.,I wonder whether the ranger opened the portal.,question,test
The goblin built the tower.,It is unclear whether the goblin built the tower.,question,test
The oracle opened the portal.,Someone asked whether the oracle opened the portal.,question,test
The ranger built the tower.,It is unclear whether the ranger built the tower.,question,test
The vampire revealed the secret.,It is unclear whether the vampire revealed the secret.,question,test
The griffin signed the treaty.,I wonder whether the griffin signed the treaty.,question,test
The queen revealed the secret.,It is unclear whether the queen revealed the secret.,question,test
The wizard predicted the storm.,Nobody knew whether the wizard had predicted the storm.,question,test
The titan opened the portal.,Nobody knew whether the titan had opened the portal.,question,test
The sphinx protected the village.,I wonder whether the sphinx protected the village.,question,test
The knight found the island.,I wonder whether the knight found the island.,question,test
The goblin guarded the treasure.,Someone asked whether the goblin guarded the treasure.,question,test
The robot revealed the secret.,I wonder whether the robot revealed the secret.,question,test
The pirate created the artifact.,It is unclear whether the pirate created the artifact.,question,test
The robot found the island.,Nobody knew whether the robot had found the island.,question,test
The oracle signed the treaty.,Someone asked whether the oracle signed the treaty.,question,test
The phoenix built the tower.,Someone asked whether the phoenix built the tower.,question,test
The phoenix guarded the treasure.,I wonder whether the phoenix guarded the treasure.,question,test
The griffin predicted the storm.,Nobody knew whether the griffin had predicted the storm.,question,test
The goblin signed the treaty.,Nobody knew whether the goblin had signed the treaty.,question,test
The titan guarded the treasure.,It is unclear whether the titan guarded the treasure.,question,test
The titan predicted the storm.,I wonder whether the titan predicted the storm.,question,test
The phoenix repaired the satellite.,Someone asked whether the phoenix repaired the satellite.,question,test
The sorcerer created the artifact.,Nobody knew whether the sorcerer had created the artifact.,question,test
The alien signed the treaty.,I wonder whether the alien signed the treaty.,question,test
The wizard opened the portal.,Nobody knew whether the wizard had opened the portal.,question,test
The spirit guarded the treasure.,I wonder whether the spirit guarded the treasure.,question,test
The giant predicted the storm.,I wonder whether the giant predicted the storm.,question,test
The vampire protected the village.,Nobody knew whether the vampire had protected the village.,question,test
The dragon found the island.,Nobody knew whether the dragon had found the island.,question,test
The dragon revealed the secret.,I wonder whether the dragon revealed the secret.,question,test
The mermaid created the artifact.,It is unclear whether the mermaid created the artifact.,question,test
The robot protected the village.,It is unclear whether the robot protected the village.,question,test
The griffin repaired the satellite.,Someone asked whether the griffin repaired the satellite.,question,test
