model,source_set,prompt_style,layer,control,exclamation_mark_rate,question_mark_rate,content_preserved_rate,exclamation_and_preserved_rate,mean_generated_chars,rows
gpt2,hard_out_of_template,copy_sentence,2,negative_target,0.0,0.025,0.475,0.0,111.65,40
gpt2,hard_out_of_template,copy_sentence,2,none,0.0,0.0,0.6,0.0,112.775,40
gpt2,hard_out_of_template,copy_sentence,2,random_norm,0.0,0.0,0.55,0.0,114.85,40
gpt2,hard_out_of_template,copy_sentence,2,target_exclamation,0.925,0.0,0.65,0.625,120.6,40
gpt2,hard_out_of_template,copy_sentence,2,wrong_question,0.0,0.875,0.575,0.0,109.15,40
gpt2,hard_out_of_template,copy_sentence,3,negative_target,0.0,0.0,0.575,0.0,118.05,40
gpt2,hard_out_of_template,copy_sentence,3,none,0.0,0.0,0.6,0.0,112.775,40
gpt2,hard_out_of_template,copy_sentence,3,random_norm,0.0,0.0,0.525,0.0,115.025,40
gpt2,hard_out_of_template,copy_sentence,3,target_exclamation,0.925,0.0,0.65,0.65,118.85,40
gpt2,hard_out_of_template,copy_sentence,3,wrong_question,0.0,0.9,0.525,0.0,113.5,40
gpt2,hard_out_of_template,repeat_sentence,2,negative_target,0.0,0.0,0.5,0.0,116.825,40
gpt2,hard_out_of_template,repeat_sentence,2,none,0.0,0.0,0.7,0.0,121.15,40
gpt2,hard_out_of_template,repeat_sentence,2,random_norm,0.025,0.0,0.725,0.025,120.8,40
gpt2,hard_out_of_template,repeat_sentence,2,target_exclamation,1.0,0.0,0.75,0.75,120.75,40
gpt2,hard_out_of_template,repeat_sentence,2,wrong_question,0.0,0.9,0.65,0.0,108.225,40
gpt2,hard_out_of_template,repeat_sentence,3,negative_target,0.0,0.0,0.575,0.0,122.825,40
gpt2,hard_out_of_template,repeat_sentence,3,none,0.0,0.0,0.7,0.0,121.15,40
gpt2,hard_out_of_template,repeat_sentence,3,random_norm,0.0,0.0,0.6,0.0,120.275,40
gpt2,hard_out_of_template,repeat_sentence,3,target_exclamation,0.925,0.0,0.775,0.725,123.175,40
gpt2,hard_out_of_template,repeat_sentence,3,wrong_question,0.0,0.925,0.675,0.0,110.125,40
gpt2,hard_out_of_template,same_sentence,2,negative_target,0.0,0.0,0.675,0.0,103.05,40
gpt2,hard_out_of_template,same_sentence,2,none,0.0,0.0,0.8,0.0,109.875,40
gpt2,hard_out_of_template,same_sentence,2,random_norm,0.0,0.0,0.775,0.0,115.075,40
gpt2,hard_out_of_template,same_sentence,2,target_exclamation,0.95,0.0,0.8,0.775,121.95,40
gpt2,hard_out_of_template,same_sentence,2,wrong_question,0.0,0.95,0.775,0.0,118.225,40
gpt2,hard_out_of_template,same_sentence,3,negative_target,0.0,0.0,0.725,0.0,107.175,40
gpt2,hard_out_of_template,same_sentence,3,none,0.0,0.0,0.8,0.0,109.875,40
gpt2,hard_out_of_template,same_sentence,3,random_norm,0.0,0.0,0.775,0.0,116.05,40
gpt2,hard_out_of_template,same_sentence,3,target_exclamation,0.95,0.0,0.8,0.8,121.325,40
gpt2,hard_out_of_template,same_sentence,3,wrong_question,0.0,0.9,0.75,0.0,115.925,40
gpt2,in_template,copy_sentence,2,negative_target,0.0,0.0,0.6,0.0,118.2,40
gpt2,in_template,copy_sentence,2,none,0.0,0.0,0.925,0.0,127.55,40
gpt2,in_template,copy_sentence,2,random_norm,0.0,0.0,0.925,0.0,128.775,40
gpt2,in_template,copy_sentence,2,target_exclamation,1.0,0.0,1.0,1.0,129.25,40
gpt2,in_template,copy_sentence,2,wrong_question,0.0,0.95,0.7,0.0,110.625,40
gpt2,in_template,copy_sentence,3,negative_target,0.0,0.0,0.925,0.0,128.65,40
gpt2,in_template,copy_sentence,3,none,0.0,0.0,0.925,0.0,127.55,40
gpt2,in_template,copy_sentence,3,random_norm,0.0,0.0,0.95,0.0,128.525,40
gpt2,in_template,copy_sentence,3,target_exclamation,1.0,0.0,0.975,0.975,129.225,40
gpt2,in_template,copy_sentence,3,wrong_question,0.0,0.95,0.85,0.0,122.075,40
gpt2,in_template,repeat_sentence,2,negative_target,0.0,0.0,0.775,0.0,123.3,40
gpt2,in_template,repeat_sentence,2,none,0.0,0.0,0.975,0.0,131.275,40
gpt2,in_template,repeat_sentence,2,random_norm,0.0,0.0,0.9,0.0,127.225,40
gpt2,in_template,repeat_sentence,2,target_exclamation,1.0,0.0,1.0,1.0,129.3,40
gpt2,in_template,repeat_sentence,2,wrong_question,0.0,0.975,0.825,0.0,115.3,40
gpt2,in_template,repeat_sentence,3,negative_target,0.0,0.0,0.95,0.0,129.975,40
gpt2,in_template,repeat_sentence,3,none,0.0,0.0,0.975,0.0,131.275,40
gpt2,in_template,repeat_sentence,3,random_norm,0.0,0.0,0.95,0.0,127.55,40
gpt2,in_template,repeat_sentence,3,target_exclamation,1.0,0.0,0.975,0.975,129.625,40
gpt2,in_template,repeat_sentence,3,wrong_question,0.0,0.975,0.9,0.0,118.6,40
gpt2,in_template,same_sentence,2,negative_target,0.0,0.0,0.9,0.0,111.575,40
gpt2,in_template,same_sentence,2,none,0.0,0.0,1.0,0.0,115.25,40
