model,scale,language,template_id,representation,cv_adjacent_norm,cos_step_12,cos_step_23,cos_step_34
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,affect,en,0,mean_pool,0.4478774666786194,0.026717307046055794,-0.1673516035079956,-0.04734933748841286
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,affect,en,1,mean_pool,0.38614222407341003,0.1943015307188034,-0.31221795082092285,0.000526190095115453
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,affect,en,2,mean_pool,0.37212350964546204,0.24127717316150665,-0.16334296762943268,-0.029064320027828217
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,affect,en,3,mean_pool,0.3940470516681671,0.19029739499092102,-0.21630534529685974,-0.00850976537913084
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,affect,en,4,mean_pool,0.41965770721435547,0.1221715584397316,-0.20116889476776123,-0.07674939930438995
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,affect,en,5,mean_pool,0.4391062557697296,0.17579731345176697,-0.16274303197860718,-0.036578137427568436
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,affect,en,6,mean_pool,0.3903247117996216,0.1756797581911087,-0.25124943256378174,-0.06207745894789696
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,affect,en,7,mean_pool,0.32864221930503845,0.16166914999485016,-0.16718298196792603,-0.06204740330576897
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,affect,en,8,mean_pool,0.36052432656288147,0.21791256964206696,-0.20831872522830963,0.0012593817664310336
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,affect,en,9,mean_pool,0.3969425559043884,0.09140881896018982,-0.2556755244731903,-0.060007061809301376
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,affect,en,10,mean_pool,0.4633291959762573,0.1396087408065796,-0.2798463702201843,-0.04927308112382889
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,affect,en,11,mean_pool,0.409223735332489,0.12915761768817902,-0.23532207310199738,-0.054969672113657
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,affect,en,12,mean_pool,0.34802448749542236,0.1514175534248352,-0.250491201877594,-0.14520281553268433
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,affect,en,13,mean_pool,0.3881568908691406,0.08999951183795929,-0.22031310200691223,-0.09383503347635269
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,affect,en,14,mean_pool,0.43021729588508606,0.11564470827579498,-0.13448280096054077,-0.005861642304807901
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,affect,en,15,mean_pool,0.3999444842338562,0.28172391653060913,-0.16414150595664978,-0.029826737940311432
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,affect,en,16,mean_pool,0.3777441680431366,0.0896666869521141,-0.1035035252571106,0.005027158185839653
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,affect,en,17,mean_pool,0.38059690594673157,0.11839354038238525,-0.2064419835805893,-0.030992532148957253
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,affect,en,18,mean_pool,0.3741823434829712,0.052743155509233475,-0.17075684666633606,-0.04445158690214157
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,affect,en,19,mean_pool,0.3977856934070587,0.24947500228881836,-0.16594578325748444,0.08583072572946548
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,affect,en,20,mean_pool,0.4115228056907654,0.03586758300662041,-0.18182601034641266,-0.06546143442392349
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,affect,en,21,mean_pool,0.40158769488334656,0.0971442237496376,-0.19310960173606873,-0.06739435344934464
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,affect,en,22,mean_pool,0.383768767118454,0.20979399979114532,-0.23941269516944885,-0.04782239347696304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,affect,en,23,mean_pool,0.40064263343811035,0.1418752372264862,-0.18499228358268738,0.017208652570843697
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,affect,en,24,mean_pool,0.43281230330467224,0.12464888393878937,-0.20189908146858215,-0.17006772756576538
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,affect,en,25,mean_pool,0.36346927285194397,0.20555004477500916,-0.2593753933906555,0.0045907157473266125
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,affect,en,26,mean_pool,0.349404901266098,0.20286649465560913,-0.17649462819099426,0.033634383231401443
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,affect,en,27,mean_pool,0.3894749879837036,0.20382440090179443,-0.2405087798833847,-0.032441396266222
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,affect,en,28,mean_pool,0.3524880111217499,0.3293587267398834,-0.27592402696609497,0.030767695978283882
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,affect,en,29,mean_pool,0.4575532078742981,0.11910782754421234,-0.184939906001091,-0.15074700117111206
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,affect,en,30,mean_pool,0.4232194721698761,0.07212287932634354,-0.20991121232509613,-0.052009571343660355
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,affect,en,31,mean_pool,0.40545654296875,0.2104121744632721,-0.24325183033943176,-0.026192763820290565
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,affect,en,32,mean_pool,0.42508235573768616,0.12609493732452393,-0.28868818283081055,-0.07652420550584793
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,affect,en,33,mean_pool,0.36719346046447754,0.12396840751171112,-0.18480849266052246,-0.051361795514822006
