model,language,template_id,triple,residualization,subspace_rank,relative_signed_permutation_norm,ratio_to_exact_null_mean,exact_empirical_p
intfloat/multilingual-e5-large,ar,0,NQM,raw,0,0.44164082407951355,0.5116931150271755,0.3684210526315789
intfloat/multilingual-e5-large,ar,0,NQM,remove_sign,1,0.4399796444486301,0.5107310591319375,0.2631578947368421
intfloat/multilingual-e5-large,ar,0,NQM,remove_triple_label,4,0.48590469805151076,0.511495658606928,0.2631578947368421
intfloat/multilingual-e5-large,ar,0,NQM,remove_endpoint_position,6,0.4376557878124312,0.5066378406655896,0.3684210526315789
intfloat/multilingual-e5-large,ar,0,NQM,remove_triple_plus_position_plus_sign,11,0.4759705299150231,0.5087964356799082,0.3684210526315789
intfloat/multilingual-e5-large,ar,0,NQT,raw,0,0.4482001066207886,0.5913778761656706,0.5789473684210527
intfloat/multilingual-e5-large,ar,0,NQT,remove_sign,1,0.4441407339122043,0.588593179320295,0.3684210526315789
intfloat/multilingual-e5-large,ar,0,NQT,remove_triple_label,4,0.491500362699828,0.5909354272534351,0.47368421052631576
intfloat/multilingual-e5-large,ar,0,NQT,remove_endpoint_position,6,0.45506598693825323,0.5992537058557157,0.5789473684210527
intfloat/multilingual-e5-large,ar,0,NQT,remove_triple_plus_position_plus_sign,11,0.4787386539569811,0.5902517158989711,0.5789473684210527
intfloat/multilingual-e5-large,ar,0,NMT,raw,0,0.32988280057907104,0.7898116609389653,0.6842105263157895
intfloat/multilingual-e5-large,ar,0,NMT,remove_sign,1,0.32996648278689983,0.7901648508745472,0.6842105263157895
intfloat/multilingual-e5-large,ar,0,NMT,remove_triple_label,4,0.3328657333905194,0.7888624509730526,0.6842105263157895
intfloat/multilingual-e5-large,ar,0,NMT,remove_endpoint_position,6,0.32391036024411685,0.7940339170088586,0.3684210526315789
intfloat/multilingual-e5-large,ar,0,NMT,remove_triple_plus_position_plus_sign,11,0.32479529105466826,0.7950817912433978,0.5789473684210527
intfloat/multilingual-e5-large,ar,0,QMT,raw,0,0.36971020698547363,0.4797154106253503,0.5789473684210527
