model,ridge_alpha,heldout_language,method,operator,target_cosine,mse,n_test
bert-base-multilingual-cased,100.0,en,linear,N,0.6561739223549727,0.2875613110848576,160
bert-base-multilingual-cased,100.0,en,affine,N,0.643440306186676,0.2933254837989807,160
bert-base-multilingual-cased,100.0,en,linear,Q,0.5364009404473048,0.3374618618640543,160
bert-base-multilingual-cased,100.0,en,affine,Q,0.519307017326355,0.348754346370697,160
bert-base-multilingual-cased,100.0,en,linear,M,0.7154919412875825,0.2406809963547707,160
bert-base-multilingual-cased,100.0,en,affine,M,0.7022709250450134,0.2451617419719696,160
bert-base-multilingual-cased,100.0,en,linear,T,0.6223569305348872,0.2495228081270554,160
bert-base-multilingual-cased,100.0,en,affine,T,0.6137977838516235,0.254982054233551,160
bert-base-multilingual-cased,100.0,es,linear,N,0.6323852847246105,0.2290712056747462,160
bert-base-multilingual-cased,100.0,es,affine,N,0.59623783826828,0.2427997142076492,160
bert-base-multilingual-cased,100.0,es,linear,Q,0.4979254965813203,0.2975968374357435,160
bert-base-multilingual-cased,100.0,es,affine,Q,0.4738068580627441,0.3110303282737732,160
bert-base-multilingual-cased,100.0,es,linear,M,0.6340338279529656,0.2182335594993129,160
bert-base-multilingual-cased,100.0,es,affine,M,0.5988579988479614,0.2304716557264328,160
bert-base-multilingual-cased,100.0,es,linear,T,0.6402587414010729,0.2315553151430338,160
bert-base-multilingual-cased,100.0,es,affine,T,0.6020442247390747,0.2450422942638397,160
bert-base-multilingual-cased,100.0,fr,linear,N,0.6360585336210219,0.228202527506285,160
bert-base-multilingual-cased,100.0,fr,affine,N,0.5985991358757019,0.2478083074092865,160
bert-base-multilingual-cased,100.0,fr,linear,Q,0.500320857108272,0.358103733852641,160
bert-base-multilingual-cased,100.0,fr,affine,Q,0.4820502698421478,0.3686404228210449,160
bert-base-multilingual-cased,100.0,fr,linear,M,0.665326300347891,0.2066630647620846,160
bert-base-multilingual-cased,100.0,fr,affine,M,0.6090391874313354,0.2306957244873047,160
bert-base-multilingual-cased,100.0,fr,linear,T,0.6550638205029975,0.2254983716554496,160
bert-base-multilingual-cased,100.0,fr,affine,T,0.621160626411438,0.2392231673002243,160
bert-base-multilingual-cased,100.0,de,linear,N,0.6331079465600704,0.2190900513909125,160
bert-base-multilingual-cased,100.0,de,affine,N,0.5738493204116821,0.2442817986011505,160
bert-base-multilingual-cased,100.0,de,linear,Q,0.4221602001417913,0.2988003036976783,160
bert-base-multilingual-cased,100.0,de,affine,Q,0.385394424200058,0.322439044713974,160
bert-base-multilingual-cased,100.0,de,linear,M,0.6095886540777199,0.2319145126347829,160
bert-base-multilingual-cased,100.0,de,affine,M,0.5540348887443542,0.2552115023136139,160
bert-base-multilingual-cased,100.0,de,linear,T,0.5927976959289223,0.2283779031658596,160
bert-base-multilingual-cased,100.0,de,affine,T,0.551540195941925,0.2484479248523712,160
bert-base-multilingual-cased,100.0,ru,linear,N,0.5872387053231766,0.2582284914273324,160
bert-base-multilingual-cased,100.0,ru,affine,N,0.5667427778244019,0.2632150053977966,160
bert-base-multilingual-cased,100.0,ru,linear,Q,0.4398397506001558,0.2948686620182769,160
bert-base-multilingual-cased,100.0,ru,affine,Q,0.3786994814872741,0.320402592420578,160
bert-base-multilingual-cased,100.0,ru,linear,M,0.6330387259781485,0.2335240099401943,160
bert-base-multilingual-cased,100.0,ru,affine,M,0.6060431003570557,0.240308791399002,160
bert-base-multilingual-cased,100.0,ru,linear,T,0.6272880679940736,0.228084967305153,160
bert-base-multilingual-cased,100.0,ru,affine,T,0.6215332746505737,0.2263462841510772,160
bert-base-multilingual-cased,100.0,zh,linear,N,0.6759599814931575,0.2622097180434214,160
bert-base-multilingual-cased,100.0,zh,affine,N,0.6452741622924805,0.2764371335506439,160
bert-base-multilingual-cased,100.0,zh,linear,Q,0.498230966697897,0.3609569819301457,160
bert-base-multilingual-cased,100.0,zh,affine,Q,0.4629272818565368,0.3830086290836334,160
bert-base-multilingual-cased,100.0,zh,linear,M,0.7098919248817707,0.256999090131086,160
bert-base-multilingual-cased,100.0,zh,affine,M,0.6851639747619629,0.2683481872081756,160
bert-base-multilingual-cased,100.0,zh,linear,T,0.6676626385457236,0.2672507914919151,160
bert-base-multilingual-cased,100.0,zh,affine,T,0.6445245742797852,0.2766471207141876,160
bert-base-multilingual-cased,100.0,ar,linear,N,0.5887367127921228,0.4721271705311723,160
bert-base-multilingual-cased,100.0,ar,affine,N,0.2486763745546341,0.7022058367729187,160
bert-base-multilingual-cased,100.0,ar,linear,Q,0.4025839423664518,0.5646608637082317,160
bert-base-multilingual-cased,100.0,ar,affine,Q,0.2477316111326217,0.6556349992752075,160
bert-base-multilingual-cased,100.0,ar,linear,M,0.6565497867864163,0.4564500612597398,160
bert-base-multilingual-cased,100.0,ar,affine,M,0.3640394210815429,0.6588067412376404,160
bert-base-multilingual-cased,100.0,ar,linear,T,0.5741910969322574,0.46333453520323,160
bert-base-multilingual-cased,100.0,ar,affine,T,0.3050289452075958,0.6423389315605164,160
distilbert-base-multilingual-cased,100.0,en,linear,N,0.5839785143487001,0.1888996095410972,160
distilbert-base-multilingual-cased,100.0,en,affine,N,0.5505083799362183,0.197674959897995,160
distilbert-base-multilingual-cased,100.0,en,linear,Q,0.5336735594256874,0.1736600737767428,160
distilbert-base-multilingual-cased,100.0,en,affine,Q,0.5042068362236023,0.1813850402832031,160
distilbert-base-multilingual-cased,100.0,en,linear,M,0.6481340499141579,0.1746226781017078,160
distilbert-base-multilingual-cased,100.0,en,affine,M,0.6099745035171509,0.1839009225368499,160
distilbert-base-multilingual-cased,100.0,en,linear,T,0.5809304369601542,0.182904946858234,160
distilbert-base-multilingual-cased,100.0,en,affine,T,0.5537568926811218,0.191474363207817,160
distilbert-base-multilingual-cased,100.0,es,linear,N,0.5606299523750431,0.1598390268472007,160
distilbert-base-multilingual-cased,100.0,es,affine,N,0.4761751294136047,0.178070455789566,160
distilbert-base-multilingual-cased,100.0,es,linear,Q,0.480723451352275,0.1587428646616582,160
distilbert-base-multilingual-cased,100.0,es,affine,Q,0.3912428319454193,0.1760535985231399,160
distilbert-base-multilingual-cased,100.0,es,linear,M,0.5968389731191669,0.1466840082854659,160
distilbert-base-multilingual-cased,100.0,es,affine,M,0.5174463987350464,0.1628832072019577,160
distilbert-base-multilingual-cased,100.0,es,linear,T,0.5797074458781835,0.1575185318187395,160
distilbert-base-multilingual-cased,100.0,es,affine,T,0.5080205202102661,0.1727708578109741,160
distilbert-base-multilingual-cased,100.0,fr,linear,N,0.5494018834469455,0.1519546429865778,160
distilbert-base-multilingual-cased,100.0,fr,affine,N,0.4476875364780426,0.1746380627155304,160
distilbert-base-multilingual-cased,100.0,fr,linear,Q,0.4747433471722361,0.1601916516574662,160
distilbert-base-multilingual-cased,100.0,fr,affine,Q,0.3974425196647644,0.1763786375522613,160
distilbert-base-multilingual-cased,100.0,fr,linear,M,0.5946138187839287,0.142951482674932,160
distilbert-base-multilingual-cased,100.0,fr,affine,M,0.4892758727073669,0.166549265384674,160
distilbert-base-multilingual-cased,100.0,fr,linear,T,0.621173974485148,0.1402957236046991,160
distilbert-base-multilingual-cased,100.0,fr,affine,T,0.5296183824539185,0.1587779968976974,160
distilbert-base-multilingual-cased,100.0,de,linear,N,0.5325981116418346,0.1561347298554408,160
distilbert-base-multilingual-cased,100.0,de,affine,N,0.3906976580619812,0.1870734542608261,160
distilbert-base-multilingual-cased,100.0,de,linear,Q,0.3885128737827872,0.1727289178678226,160
distilbert-base-multilingual-cased,100.0,de,affine,Q,0.3215427994728088,0.1868107914924621,160
distilbert-base-multilingual-cased,100.0,de,linear,M,0.5821137340631217,0.1511300810068047,160
distilbert-base-multilingual-cased,100.0,de,affine,M,0.4668909907341003,0.1745070517063141,160
distilbert-base-multilingual-cased,100.0,de,linear,T,0.5472183326657609,0.1614878029854322,160
distilbert-base-multilingual-cased,100.0,de,affine,T,0.4378199577331543,0.1859233975410461,160
distilbert-base-multilingual-cased,100.0,ru,linear,N,0.5378818653890831,0.1609687518120172,160
distilbert-base-multilingual-cased,100.0,ru,affine,N,0.4519461691379547,0.1725855767726898,160
distilbert-base-multilingual-cased,100.0,ru,linear,Q,0.5025533875283968,0.1437945332659514,160
distilbert-base-multilingual-cased,100.0,ru,affine,Q,0.3384613990783691,0.1675719916820526,160
distilbert-base-multilingual-cased,100.0,ru,linear,M,0.5859009365674555,0.1372835709531949,160
distilbert-base-multilingual-cased,100.0,ru,affine,M,0.5057591199874878,0.147374540567398,160
distilbert-base-multilingual-cased,100.0,ru,linear,T,0.5719484272230331,0.1469101011157814,160
distilbert-base-multilingual-cased,100.0,ru,affine,T,0.5065211057662964,0.1551443785429,160
distilbert-base-multilingual-cased,100.0,zh,linear,N,0.5961596959615324,0.2218236954445041,160
distilbert-base-multilingual-cased,100.0,zh,affine,N,0.486126035451889,0.2516206204891205,160
distilbert-base-multilingual-cased,100.0,zh,linear,Q,0.5069592184229471,0.2320574272466931,160
distilbert-base-multilingual-cased,100.0,zh,affine,Q,0.449300616979599,0.2467566430568695,160
distilbert-base-multilingual-cased,100.0,zh,linear,M,0.6362170395603799,0.2145728136751753,160
distilbert-base-multilingual-cased,100.0,zh,affine,M,0.5165839195251465,0.2492630779743194,160
distilbert-base-multilingual-cased,100.0,zh,linear,T,0.6063647008585267,0.219329246954239,160
distilbert-base-multilingual-cased,100.0,zh,affine,T,0.5139805674552917,0.2443098723888397,160
distilbert-base-multilingual-cased,100.0,ar,linear,N,0.6324908207827713,0.2337447531209062,160
distilbert-base-multilingual-cased,100.0,ar,affine,N,0.113823615014553,0.4114424586296081,160
distilbert-base-multilingual-cased,100.0,ar,linear,Q,0.4479902164106885,0.317806138858932,160
distilbert-base-multilingual-cased,100.0,ar,affine,Q,0.1721448004245758,0.4060019552707672,160
distilbert-base-multilingual-cased,100.0,ar,linear,M,0.663234654194215,0.2504181986527881,160
distilbert-base-multilingual-cased,100.0,ar,affine,M,0.139151856303215,0.444375604391098,160
distilbert-base-multilingual-cased,100.0,ar,linear,T,0.6043599232403133,0.2322862756494166,160
distilbert-base-multilingual-cased,100.0,ar,affine,T,0.153852492570877,0.3831638395786285,160
sentence-transformers/LaBSE,100.0,en,linear,N,0.9006097516205294,0.336643167005962,160
sentence-transformers/LaBSE,100.0,en,affine,N,0.9002891778945923,0.3358179628849029,160
sentence-transformers/LaBSE,100.0,en,linear,Q,0.8576970232246366,0.506644085677366,160
sentence-transformers/LaBSE,100.0,en,affine,Q,0.8499467968940735,0.5417068004608154,160
sentence-transformers/LaBSE,100.0,en,linear,M,0.9118786174440712,0.2630878987743374,160
sentence-transformers/LaBSE,100.0,en,affine,M,0.909991443157196,0.2652526497840881,160
sentence-transformers/LaBSE,100.0,en,linear,T,0.8972957669943196,0.3453093561099253,160
sentence-transformers/LaBSE,100.0,en,affine,T,0.8987671136856079,0.3396824896335602,160
sentence-transformers/LaBSE,100.0,es,linear,N,0.8749128412978461,0.3145965471946932,160
sentence-transformers/LaBSE,100.0,es,affine,N,0.8738639950752258,0.3184762895107269,160
sentence-transformers/LaBSE,100.0,es,linear,Q,0.8636142450267016,0.4380088864886763,160
sentence-transformers/LaBSE,100.0,es,affine,Q,0.8592748641967773,0.4594193398952484,160
sentence-transformers/LaBSE,100.0,es,linear,M,0.9178362745233384,0.1780588315240749,160
sentence-transformers/LaBSE,100.0,es,affine,M,0.9184075593948364,0.1765456795692443,160
sentence-transformers/LaBSE,100.0,es,linear,T,0.913976763601281,0.2590702578105052,160
sentence-transformers/LaBSE,100.0,es,affine,T,0.9143519401550292,0.2576654553413391,160
sentence-transformers/LaBSE,100.0,fr,linear,N,0.9067660106833226,0.2945456849421725,160
sentence-transformers/LaBSE,100.0,fr,affine,N,0.9070407748222352,0.2934540212154388,160
sentence-transformers/LaBSE,100.0,fr,linear,Q,0.9189138046783386,0.39100978417505,160
sentence-transformers/LaBSE,100.0,fr,affine,Q,0.9196235537528992,0.3884606957435608,160
sentence-transformers/LaBSE,100.0,fr,linear,M,0.9051968569612696,0.2388701005446836,160
sentence-transformers/LaBSE,100.0,fr,affine,M,0.9048738479614258,0.2388298511505127,160
sentence-transformers/LaBSE,100.0,fr,linear,T,0.9223263455778502,0.2780072894540879,160
sentence-transformers/LaBSE,100.0,fr,affine,T,0.9222366213798524,0.2772148549556732,160
sentence-transformers/LaBSE,100.0,de,linear,N,0.8878190495295618,0.4251086281334695,160
sentence-transformers/LaBSE,100.0,de,affine,N,0.8882625699043274,0.4224238991737366,160
sentence-transformers/LaBSE,100.0,de,linear,Q,0.9373939850053744,0.2850153482915863,160
sentence-transformers/LaBSE,100.0,de,affine,Q,0.9375444650650024,0.2844614386558532,160
sentence-transformers/LaBSE,100.0,de,linear,M,0.876896769455108,0.3934294885752104,160
sentence-transformers/LaBSE,100.0,de,affine,M,0.8753817677497864,0.3960013687610626,160
sentence-transformers/LaBSE,100.0,de,linear,T,0.8880460528723582,0.3875736161018398,160
sentence-transformers/LaBSE,100.0,de,affine,T,0.8882182836532593,0.3871500492095947,160
sentence-transformers/LaBSE,100.0,ru,linear,N,0.7912274309252564,0.3854722096673403,160
sentence-transformers/LaBSE,100.0,ru,affine,N,0.7841200828552246,0.3943682014942169,160
sentence-transformers/LaBSE,100.0,ru,linear,Q,0.7955248227846349,0.4812480863365714,160
sentence-transformers/LaBSE,100.0,ru,affine,Q,0.7955127954483032,0.4764213562011719,160
sentence-transformers/LaBSE,100.0,ru,linear,M,0.8015303593458614,0.3756314482433504,160
sentence-transformers/LaBSE,100.0,ru,affine,M,0.7943388819694519,0.3835981488227844,160
sentence-transformers/LaBSE,100.0,ru,linear,T,0.757019689010823,0.4685349102810817,160
sentence-transformers/LaBSE,100.0,ru,affine,T,0.7489200234413147,0.4813215732574463,160
sentence-transformers/LaBSE,100.0,zh,linear,N,0.8815048034948714,0.2740706688901774,160
sentence-transformers/LaBSE,100.0,zh,affine,N,0.8811982274055481,0.2754754424095154,160
sentence-transformers/LaBSE,100.0,zh,linear,Q,0.84368692276114,0.403221892068372,160
sentence-transformers/LaBSE,100.0,zh,affine,Q,0.8410409092903137,0.4146608710289001,160
sentence-transformers/LaBSE,100.0,zh,linear,M,0.8834023349067056,0.2234412914830342,160
sentence-transformers/LaBSE,100.0,zh,affine,M,0.8839252591133118,0.2229939401149749,160
sentence-transformers/LaBSE,100.0,zh,linear,T,0.8963552596368934,0.246392876096386,160
sentence-transformers/LaBSE,100.0,zh,affine,T,0.8956247568130493,0.2488421648740768,160
sentence-transformers/LaBSE,100.0,ar,linear,N,0.7349603705475832,0.6526637550175679,160
sentence-transformers/LaBSE,100.0,ar,affine,N,0.6834610104560852,0.7431500554084778,160
sentence-transformers/LaBSE,100.0,ar,linear,Q,0.7147307988467068,0.6207205571357521,160
sentence-transformers/LaBSE,100.0,ar,affine,Q,0.6464579701423645,0.7496064901351929,160
sentence-transformers/LaBSE,100.0,ar,linear,M,0.7797401449840671,0.5263963495537068,160
sentence-transformers/LaBSE,100.0,ar,affine,M,0.762135922908783,0.5535185933113098,160
sentence-transformers/LaBSE,100.0,ar,linear,T,0.7434305375421575,0.6527937532758402,160
sentence-transformers/LaBSE,100.0,ar,affine,T,0.7047880291938782,0.7176567316055298,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,en,linear,N,0.8572531637153775,0.0153994211898875,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,en,affine,N,0.8587666749954224,0.0154258329421281,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,en,linear,Q,0.8152612025171694,0.0177769800460908,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,en,affine,Q,0.8205693364143372,0.0174991600215435,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,en,linear,M,0.9168795724897733,0.0124650086372238,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,en,affine,M,0.9181739687919616,0.0125255836173892,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,en,linear,T,0.9165199178394144,0.0126440419992494,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,en,affine,T,0.918240249156952,0.0127088278532028,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,es,linear,N,0.8568687238437971,0.0129283588981475,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,es,affine,N,0.8521135449409485,0.0122271096333861,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,es,linear,Q,0.8800430261401082,0.0089474728249895,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,es,affine,Q,0.8770791292190552,0.0088668689131736,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,es,linear,M,0.8553851665748811,0.0105555612779816,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,es,affine,M,0.8472028970718384,0.010605389252305,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,es,linear,T,0.8819968421221688,0.0101024905855699,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,es,affine,T,0.8660508394241333,0.0102569367736577,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,fr,linear,N,0.8650034863482853,0.0115575467518552,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,fr,affine,N,0.8620861172676086,0.0110369836911559,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,fr,linear,Q,0.8249708389307949,0.0096512116113585,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,fr,affine,Q,0.825522780418396,0.0095219556242227,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,fr,linear,M,0.8824641002787331,0.0077339433925211,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,fr,affine,M,0.8755205869674683,0.0078048231080174,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,fr,linear,T,0.8975080115192059,0.0077020078915365,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,fr,affine,T,0.891440212726593,0.0076228408142924,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,de,linear,N,0.8519625939427302,0.0130235913094698,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,de,affine,N,0.8620931506156921,0.0113340225070714,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,de,linear,Q,0.8526510780821897,0.0097137156962854,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,de,affine,Q,0.855087161064148,0.0093029085546731,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,de,linear,M,0.8789412422251497,0.0072884308675628,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,de,affine,M,0.8174251317977905,0.0085626160725951,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,de,linear,T,0.8634717487326652,0.0086388095819842,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,de,affine,T,0.8490492105484009,0.0084738284349441,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,ru,linear,N,0.397197269585633,0.0164227420197069,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,ru,affine,N,0.2880597710609436,0.0217125881463289,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,ru,linear,Q,0.5841814251139196,0.0118133772522377,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,ru,affine,Q,0.5439826250076294,0.0119582861661911,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,ru,linear,M,0.5766049036757002,0.0148603555328132,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,ru,affine,M,0.5350838899612427,0.015000669285655,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,ru,linear,T,0.6110500248508306,0.011768514489972,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,ru,affine,T,0.5849189162254333,0.0116408932954072,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,zh,linear,N,0.8609736668140684,0.0117563865002441,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,zh,affine,N,0.8529931306838989,0.0117575647309422,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,zh,linear,Q,0.8947681958432974,0.006812787586273,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,zh,affine,Q,0.8937634229660034,0.0068156286142766,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,zh,linear,M,0.9244899274321932,0.0088610614463823,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,zh,affine,M,0.9223552942276,0.0086588710546493,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,zh,linear,T,0.9127504606439334,0.0079436765168869,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,zh,affine,T,0.9087211489677428,0.0078426767140626,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,ar,linear,N,0.4117864466067283,0.0409837931054201,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,ar,affine,N,0.1937308609485626,0.0496341213583946,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,ar,linear,Q,0.6212895041196309,0.0332052093183441,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,ar,affine,Q,0.3220063149929046,0.0440945923328399,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,ar,linear,M,0.5753962143539277,0.0364000843616968,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,ar,affine,M,0.2708510756492615,0.0480657778680324,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,ar,linear,T,0.5104305827405712,0.038823796821892,160
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,ar,affine,T,0.277440994977951,0.047465831041336,160
xlm-roberta-base,100.0,en,linear,N,0.4804771353486122,0.008770806576242,160
xlm-roberta-base,100.0,en,affine,N,0.40524822473526,0.0094645284116268,160
xlm-roberta-base,100.0,en,linear,Q,0.5477169123590513,0.0091533571483072,160
xlm-roberta-base,100.0,en,affine,Q,0.5014179944992065,0.0097536835819482,160
xlm-roberta-base,100.0,en,linear,M,0.4786312851153315,0.0086626250441209,160
xlm-roberta-base,100.0,en,affine,M,0.3279612958431244,0.0099965576082468,160
xlm-roberta-base,100.0,en,linear,T,0.4516807649557037,0.0091486892276971,160
xlm-roberta-base,100.0,en,affine,T,0.358471006155014,0.0101119074970483,160
xlm-roberta-base,100.0,es,linear,N,0.4210908498202884,0.0091359519882128,160
xlm-roberta-base,100.0,es,affine,N,0.2913121879100799,0.0101945204660296,160
xlm-roberta-base,100.0,es,linear,Q,0.4800886927533035,0.0136729546133695,160
xlm-roberta-base,100.0,es,affine,Q,0.5400129556655884,0.0124100651592016,160
