source_set,source_id,source
application_naturalish_heldout,0,The grant application was revised after the committee meeting.
application_naturalish_heldout,1,"Although the prototype overheated, the backup controller stayed online."
application_naturalish_heldout,2,Marina counted 73 labeled samples before the freezer alarm sounded.
application_naturalish_heldout,3,The dataset was anonymized by the hospital team in Krakow.
application_naturalish_heldout,4,"When the parser failed, the notebook saved a diagnostic snapshot."
application_naturalish_heldout,5,A second telescope observed Saturn during the early morning window.
application_naturalish_heldout,6,"Because the elevator stopped, the courier used the emergency stairs."
application_naturalish_heldout,7,The calibration report was signed by Victor at 18:40.
application_naturalish_heldout,8,"After the river level dropped, the engineers inspected the dam."
application_naturalish_heldout,9,The microscope recorded 512 frames before the lamp dimmed.
application_naturalish_heldout,10,"If the validator rejects the file, the pipeline opens a review ticket."
application_naturalish_heldout,11,The old turbine was replaced during the overnight maintenance shift.
application_naturalish_heldout,12,Professor Novak compared four baselines on the university cluster.
application_naturalish_heldout,13,"While the train waited outside Lyon, the server finished indexing."
application_naturalish_heldout,14,The survey invitation was translated into Portuguese on Friday.
application_naturalish_heldout,15,"Because the route was blocked, Alina updated the delivery schedule."
application_naturalish_heldout,16,The archive stored 24 encrypted drives in a locked cabinet.
application_naturalish_heldout,17,"After the model converged, the researcher exported the confusion matrix."
application_naturalish_heldout,18,The chemical sample was sealed by two technicians in Room 7.
application_naturalish_heldout,19,"When the satellite passed overhead, the antenna logged a weak signal."
application_naturalish_heldout,20,The migration script copied 19 tables before the database restarted.
application_naturalish_heldout,21,"Although the lecture began late, the recording captured every slide."
application_naturalish_heldout,22,The legal memo was reviewed by Nadia before noon.
application_naturalish_heldout,23,"Because the sensor drifted, the robot recalibrated its camera."
application_naturalish_heldout,24,The container was inspected at Gate 6 after midnight.
application_naturalish_heldout,25,"When the timer expired, the incubator locked the control panel."
application_naturalish_heldout,26,The museum catalog listed 38 restored photographs from 1921.
application_naturalish_heldout,27,"After the password reset, the dashboard requested a fresh token."
application_naturalish_heldout,28,The clinical team processed 64 consent forms during the audit.
application_naturalish_heldout,29,"Although the storm damaged the pier, the lighthouse remained powered."
application_naturalish_heldout,30,The finance report was delivered to Building 4 by courier.
application_naturalish_heldout,31,"When the compressor restarted, the pressure gauge returned to baseline."
application_naturalish_heldout,32,The research assistant labeled nine folders before lunch.
application_naturalish_heldout,33,"Because the network queue filled, the batch job paused automatically."
application_naturalish_heldout,34,The manuscript was scanned by a volunteer in Tallinn.
application_naturalish_heldout,35,"After the rehearsal, Sofia checked the metronome settings."
application_naturalish_heldout,36,The warehouse shipped 31 replacement batteries to Lisbon.
application_naturalish_heldout,37,"When the freezer door opened, the sample tags stayed readable."
application_naturalish_heldout,38,The council approved the transport plan in July 2026.
application_naturalish_heldout,39,"Although the browser crashed, the form preserved the draft."
application_naturalish_heldout,40,The medical device logged 27 alerts during the night shift.
application_naturalish_heldout,41,"Before the demo started, Olesya checked the microphone cable."
application_naturalish_heldout,42,The bridge inspection was completed by a local engineering crew.
application_naturalish_heldout,43,"Because the invoice changed, the script regenerated the summary."
application_naturalish_heldout,44,The rover crossed 12 meters of loose gravel near the ridge.
application_naturalish_heldout,45,"When the camera refocused, the barcode became readable."
application_naturalish_heldout,46,The committee archived five proposals after the public hearing.
application_naturalish_heldout,47,"Although the meeting moved online, the interpreter joined on time."
application_naturalish_heldout,48,The contract was signed in Berlin.
application_naturalish_heldout,49,Maria submitted the report after midnight.
application_naturalish_heldout,50,The backup server failed during migration.
application_naturalish_heldout,51,The committee approved the proposal.
application_naturalish_heldout,52,A pediatric clinic opened near the railway station.
application_naturalish_heldout,53,The research team archived the calibration logs.
application_naturalish_heldout,54,Anton replaced the battery before the field test.
application_naturalish_heldout,55,The invoice matched the purchase order.
application_naturalish_heldout,56,Several volunteers cleaned the lab benches.
application_naturalish_heldout,57,The solar array produced enough power for the rover.
application_naturalish_heldout,58,The judge postponed the hearing until Monday.
application_naturalish_heldout,59,Nadia checked the microscope before the lecture.
application_naturalish_heldout,60,The file checksum changed after compression.
application_naturalish_heldout,61,The museum restored three photographs from 1912.
application_naturalish_heldout,62,A courier delivered the tablets to Room 406.
application_naturalish_heldout,63,The telescope recorded a faint signal near Jupiter.
application_naturalish_heldout,64,The hospital updated the consent form.
application_naturalish_heldout,65,Mila copied the dataset to an encrypted drive.
application_naturalish_heldout,66,The safety valve opened during the pressure test.
application_naturalish_heldout,67,The archive listed twelve missing pages.
application_naturalish_heldout,68,A data analyst reviewed the outlier report.
application_naturalish_heldout,69,The cargo ship reached Lisbon before sunrise.
application_naturalish_heldout,70,The browser saved the form draft automatically.
application_naturalish_heldout,71,A violin student practiced near the old theater.
application_naturalish_heldout,72,The compiler emitted a warning during packaging.
application_naturalish_heldout,73,The bridge inspection finished ahead of schedule.
application_naturalish_heldout,74,A climate sensor drifted after the storm.
application_naturalish_heldout,75,The robot mapped the corridor on its second pass.
application_naturalish_heldout,76,The translation service returned a malformed token.
application_naturalish_heldout,77,Sofia labeled the audio clips before lunch.
application_naturalish_heldout,78,The drone photographed the flooded road.
application_naturalish_heldout,79,The legal memo cited the revised statute.
