model,heldout_language,method,pair,basis_rank,matrix_commutator_norm,closure_residual_ratio,random_subspace_null_mean,random_subspace_null_std,empirical_p_below_random_subspace,coef_N,coef_Q,coef_M,coef_T
BAAI/bge-m3,en,linear,NQ_minus_QN,4,5.786894143715911,0.9986292834947932,0.9998782161602408,8.521446911226723e-05,0.0033222591362126,-0.0378330892684797,-0.0058863376747972,0.0310800209242366,0.0058331233956511
BAAI/bge-m3,en,linear,NM_minus_MN,4,4.696198541523198,0.9985537441907038,0.9998788961301952,8.3874178557207e-05,0.0033222591362126,0.0014398954470885,-0.0141186400291241,0.0482576149834749,-0.0066651072764929
BAAI/bge-m3,en,linear,NT_minus_TN,4,5.497918690681471,0.9975901748478916,0.9998794238252088,8.76786128779179e-05,0.0033222591362126,-0.0452878784187134,0.0034702573999449,0.0118131261148732,0.0533812112592069
BAAI/bge-m3,en,linear,QM_minus_MQ,4,4.182366363455465,0.9987355313747984,0.9998773499463396,8.685907903858155e-05,0.0033222591362126,-0.0258814032897198,0.0133799593615869,0.021834400634031,0.0105741237887885
BAAI/bge-m3,en,linear,QT_minus_TQ,4,4.409881695092857,0.9988053542953844,0.999885229491442,7.750549502860061e-05,0.0033222591362126,-0.007981178307367,0.0147424666291627,-0.0024215931242818,0.0230649879242295
BAAI/bge-m3,en,linear,MT_minus_TM,4,3.899406403198593,0.9919205029800526,0.9998804437901044,9.010555881369372e-05,0.0033222591362126,0.035597526493544,0.0335821245623703,0.0074974724294797,-0.0907739487190598
BAAI/bge-m3,en,affine,NQ_minus_QN,4,5.617689811167439,0.9976545940993158,0.999868692231648,0.0001016868353052,0.0033222591362126,-0.0537022939794915,0.0034130836814404,0.0379091611936324,0.0132382101137394
BAAI/bge-m3,en,affine,NM_minus_MN,4,4.645108873508892,0.9984263674183254,0.9998832152349756,8.160573137121705e-05,0.0033222591362126,0.0073189529645063,-0.0248181034687539,0.0443514140614198,-0.0002925121290422
BAAI/bge-m3,en,affine,NT_minus_TN,4,5.254491843828807,0.9973028565501836,0.9998710711345944,9.23513181768582e-05,0.0033222591362126,-0.0355891644231596,-0.0134707479630928,0.0033904614035554,0.0674967259674905
BAAI/bge-m3,en,affine,QM_minus_MQ,4,4.119251184663459,0.9985392470471371,0.9998769144114158,8.455748838540242e-05,0.0033222591362126,-0.0266526393444802,0.0163671820802467,0.0253384685850868,0.0067566439528985
BAAI/bge-m3,en,affine,QT_minus_TQ,4,4.28350156671948,0.9987220239128122,0.9998831922687188,9.054847587057048e-05,0.0033222591362126,-0.0068914125398053,0.0180291224274853,-0.0084335071691473,0.0212123174451561
BAAI/bge-m3,en,affine,MT_minus_TM,4,3.8447548719116074,0.9916484247368248,0.9998723383447936,9.072626239657226e-05,0.0033222591362126,0.037141395818793,0.0313104920283757,0.0097319455746929,-0.0931977158234853
BAAI/bge-m3,es,linear,NQ_minus_QN,4,6.20712489869073,0.9968199293654392,0.9998875836407236,7.697944567953986e-05,0.0033222591362126,-0.071308266947045,0.0315856276224129,0.0201072960197697,0.0222154695091076
BAAI/bge-m3,es,linear,NM_minus_MN,4,4.774529195406656,0.9992815660360328,0.9998771020757418,8.738169342098558e-05,0.0033222591362126,0.0060470058722427,-0.016256202781027,0.0293385112747086,0.001809441132081
BAAI/bge-m3,es,linear,NT_minus_TN,4,5.788365330257923,0.9965816768639042,0.9998718558980848,8.567148989424533e-05,0.0033222591362126,-0.0260203752758246,-0.0418180383062792,0.0152507834073199,0.0790380867985109
BAAI/bge-m3,es,linear,QM_minus_MQ,4,4.19146271234198,0.9995502932096793,0.9998787184528156,9.149767204122696e-05,0.0166112956810631,-0.0144400438445285,0.0045413624880302,0.0170918066952472,-0.0039455253090173
