language,template_id,level,text,marker
en,0,-2,the teacher hates the design today.,hates
en,0,-1,the teacher dislikes the design today.,dislikes
en,0,0,the teacher feels indifferent toward the design today.,indifferent
en,0,1,the teacher likes the design today.,likes
en,0,2,the teacher loves the design today.,loves
en,1,-2,she hates the song during the review.,hates
en,1,-1,she dislikes the song during the review.,dislikes
en,1,0,she feels indifferent toward the song during the review.,indifferent
en,1,1,she likes the song during the review.,likes
en,1,2,she loves the song during the review.,loves
en,2,-2,I hates the proposal in private.,hates
en,2,-1,I dislikes the proposal in private.,dislikes
en,2,0,I feels indifferent toward the proposal in private.,indifferent
en,2,1,I likes the proposal in private.,likes
en,2,2,I loves the proposal in private.,loves
en,3,-2,the artist hates the proposal at the end.,hates
en,3,-1,the artist dislikes the proposal at the end.,dislikes
en,3,0,the artist feels indifferent toward the proposal at the end.,indifferent
en,3,1,the artist likes the proposal at the end.,likes
en,3,2,the artist loves the proposal at the end.,loves
en,4,-2,the teacher hates the proposal during the review.,hates
en,4,-1,the teacher dislikes the proposal during the review.,dislikes
en,4,0,the teacher feels indifferent toward the proposal during the review.,indifferent
en,4,1,the teacher likes the proposal during the review.,likes
en,4,2,the teacher loves the proposal during the review.,loves
en,5,-2,the teacher hates this city after the meeting.,hates
en,5,-1,the teacher dislikes this city after the meeting.,dislikes
en,5,0,the teacher feels indifferent toward this city after the meeting.,indifferent
en,5,1,the teacher likes this city after the meeting.,likes
en,5,2,the teacher loves this city after the meeting.,loves
en,6,-2,I hates the proposal during the review.,hates
en,6,-1,I dislikes the proposal during the review.,dislikes
en,6,0,I feels indifferent toward the proposal during the review.,indifferent
en,6,1,I likes the proposal during the review.,likes
en,6,2,I loves the proposal during the review.,loves
en,7,-2,the researcher hates this film in private.,hates
en,7,-1,the researcher dislikes this film in private.,dislikes
en,7,0,the researcher feels indifferent toward this film in private.,indifferent
en,7,1,the researcher likes this film in private.,likes
en,7,2,the researcher loves this film in private.,loves
en,8,-2,the critic hates the proposal after the meeting.,hates
en,8,-1,the critic dislikes the proposal after the meeting.,dislikes
en,8,0,the critic feels indifferent toward the proposal after the meeting.,indifferent
en,8,1,the critic likes the proposal after the meeting.,likes
en,8,2,the critic loves the proposal after the meeting.,loves
en,9,-2,the artist hates the design during the review.,hates
en,9,-1,the artist dislikes the design during the review.,dislikes
en,9,0,the artist feels indifferent toward the design during the review.,indifferent
en,9,1,the artist likes the design during the review.,likes
en,9,2,the artist loves the design during the review.,loves
en,10,-2,I hates this system today.,hates
en,10,-1,I dislikes this system today.,dislikes
en,10,0,I feels indifferent toward this system today.,indifferent
en,10,1,I likes this system today.,likes
en,10,2,I loves this system today.,loves
en,11,-2,the user hates the proposal during the review.,hates
en,11,-1,the user dislikes the proposal during the review.,dislikes
en,11,0,the user feels indifferent toward the proposal during the review.,indifferent
en,11,1,the user likes the proposal during the review.,likes
en,11,2,the user loves the proposal during the review.,loves
en,12,-2,the critic hates this system in private.,hates
en,12,-1,the critic dislikes this system in private.,dislikes
en,12,0,the critic feels indifferent toward this system in private.,indifferent
en,12,1,the critic likes this system in private.,likes
en,12,2,the critic loves this system in private.,loves
en,13,-2,the researcher hates this city at the end.,hates
en,13,-1,the researcher dislikes this city at the end.,dislikes
en,13,0,the researcher feels indifferent toward this city at the end.,indifferent
en,13,1,the researcher likes this city at the end.,likes
en,13,2,the researcher loves this city at the end.,loves
en,14,-2,the researcher hates you after the meeting.,hates
en,14,-1,the researcher dislikes you after the meeting.,dislikes
en,14,0,the researcher feels indifferent toward you after the meeting.,indifferent
en,14,1,the researcher likes you after the meeting.,likes
en,14,2,the researcher loves you after the meeting.,loves
en,15,-2,she hates this idea in private.,hates
en,15,-1,she dislikes this idea in private.,dislikes
en,15,0,she feels indifferent toward this idea in private.,indifferent
en,15,1,she likes this idea in private.,likes
en,15,2,she loves this idea in private.,loves
en,16,-2,the researcher hates the design after the meeting.,hates
en,16,-1,the researcher dislikes the design after the meeting.,dislikes
en,16,0,the researcher feels indifferent toward the design after the meeting.,indifferent
en,16,1,the researcher likes the design after the meeting.,likes
en,16,2,the researcher loves the design after the meeting.,loves
en,17,-2,the researcher hates the song today.,hates
en,17,-1,the researcher dislikes the song today.,dislikes
en,17,0,the researcher feels indifferent toward the song today.,indifferent
en,17,1,the researcher likes the song today.,likes
en,17,2,the researcher loves the song today.,loves
en,18,-2,the researcher hates the design at the end.,hates
en,18,-1,the researcher dislikes the design at the end.,dislikes
en,18,0,the researcher feels indifferent toward the design at the end.,indifferent
en,18,1,the researcher likes the design at the end.,likes
en,18,2,the researcher loves the design at the end.,loves
en,19,-2,the user hates this idea after the meeting.,hates
en,19,-1,the user dislikes this idea after the meeting.,dislikes
en,19,0,the user feels indifferent toward this idea after the meeting.,indifferent
en,19,1,the user likes this idea after the meeting.,likes
en,19,2,the user loves this idea after the meeting.,loves
en,20,-2,the researcher hates this system today.,hates
en,20,-1,the researcher dislikes this system today.,dislikes
en,20,0,the researcher feels indifferent toward this system today.,indifferent
en,20,1,the researcher likes this system today.,likes
en,20,2,the researcher loves this system today.,loves
en,21,-2,the researcher hates the proposal today.,hates
en,21,-1,the researcher dislikes the proposal today.,dislikes
en,21,0,the researcher feels indifferent toward the proposal today.,indifferent
en,21,1,the researcher likes the proposal today.,likes
en,21,2,the researcher loves the proposal today.,loves
en,22,-2,I hates this system in private.,hates
en,22,-1,I dislikes this system in private.,dislikes
en,22,0,I feels indifferent toward this system in private.,indifferent
en,22,1,I likes this system in private.,likes
en,22,2,I loves this system in private.,loves
en,23,-2,the artist hates the design after the meeting.,hates
en,23,-1,the artist dislikes the design after the meeting.,dislikes
en,23,0,the artist feels indifferent toward the design after the meeting.,indifferent
en,23,1,the artist likes the design after the meeting.,likes
en,23,2,the artist loves the design after the meeting.,loves
en,24,-2,the neighbor hates you at the end.,hates
en,24,-1,the neighbor dislikes you at the end.,dislikes
en,24,0,the neighbor feels indifferent toward you at the end.,indifferent
en,24,1,the neighbor likes you at the end.,likes
en,24,2,the neighbor loves you at the end.,loves
en,25,-2,the neighbor hates the song during the review.,hates
en,25,-1,the neighbor dislikes the song during the review.,dislikes
en,25,0,the neighbor feels indifferent toward the song during the review.,indifferent
en,25,1,the neighbor likes the song during the review.,likes
en,25,2,the neighbor loves the song during the review.,loves
en,26,-2,the researcher hates this film after the meeting.,hates
en,26,-1,the researcher dislikes this film after the meeting.,dislikes
en,26,0,the researcher feels indifferent toward this film after the meeting.,indifferent
en,26,1,the researcher likes this film after the meeting.,likes
en,26,2,the researcher loves this film after the meeting.,loves
en,27,-2,the artist hates this idea during the review.,hates
en,27,-1,the artist dislikes this idea during the review.,dislikes
en,27,0,the artist feels indifferent toward this idea during the review.,indifferent
en,27,1,the artist likes this idea during the review.,likes
en,27,2,the artist loves this idea during the review.,loves
en,28,-2,I hates the song in private.,hates
en,28,-1,I dislikes the song in private.,dislikes
en,28,0,I feels indifferent toward the song in private.,indifferent
en,28,1,I likes the song in private.,likes
en,28,2,I loves the song in private.,loves
en,29,-2,the neighbor hates you today.,hates
en,29,-1,the neighbor dislikes you today.,dislikes
en,29,0,the neighbor feels indifferent toward you today.,indifferent
en,29,1,the neighbor likes you today.,likes
en,29,2,the neighbor loves you today.,loves
en,30,-2,the teacher hates the design during the review.,hates
en,30,-1,the teacher dislikes the design during the review.,dislikes
en,30,0,the teacher feels indifferent toward the design during the review.,indifferent
en,30,1,the teacher likes the design during the review.,likes
en,30,2,the teacher loves the design during the review.,loves
en,31,-2,she hates the proposal at the end.,hates
en,31,-1,she dislikes the proposal at the end.,dislikes
en,31,0,she feels indifferent toward the proposal at the end.,indifferent
en,31,1,she likes the proposal at the end.,likes
en,31,2,she loves the proposal at the end.,loves
en,32,-2,the artist hates this city during the review.,hates
en,32,-1,the artist dislikes this city during the review.,dislikes
en,32,0,the artist feels indifferent toward this city during the review.,indifferent
en,32,1,the artist likes this city during the review.,likes
en,32,2,the artist loves this city during the review.,loves
en,33,-2,the researcher hates the proposal at the end.,hates
en,33,-1,the researcher dislikes the proposal at the end.,dislikes
en,33,0,the researcher feels indifferent toward the proposal at the end.,indifferent
en,33,1,the researcher likes the proposal at the end.,likes
en,33,2,the researcher loves the proposal at the end.,loves
en,34,-2,the researcher hates you today.,hates
en,34,-1,the researcher dislikes you today.,dislikes
en,34,0,the researcher feels indifferent toward you today.,indifferent
en,34,1,the researcher likes you today.,likes
en,34,2,the researcher loves you today.,loves
en,35,-2,the critic hates the song during the review.,hates
en,35,-1,the critic dislikes the song during the review.,dislikes
en,35,0,the critic feels indifferent toward the song during the review.,indifferent
en,35,1,the critic likes the song during the review.,likes
en,35,2,the critic loves the song during the review.,loves
en,36,-2,she hates this film after the meeting.,hates
en,36,-1,she dislikes this film after the meeting.,dislikes
en,36,0,she feels indifferent toward this film after the meeting.,indifferent
en,36,1,she likes this film after the meeting.,likes
en,36,2,she loves this film after the meeting.,loves
en,37,-2,the neighbor hates this city at the end.,hates
en,37,-1,the neighbor dislikes this city at the end.,dislikes
en,37,0,the neighbor feels indifferent toward this city at the end.,indifferent
en,37,1,the neighbor likes this city at the end.,likes
en,37,2,the neighbor loves this city at the end.,loves
en,38,-2,the researcher hates the song during the review.,hates
en,38,-1,the researcher dislikes the song during the review.,dislikes
en,38,0,the researcher feels indifferent toward the song during the review.,indifferent
en,38,1,the researcher likes the song during the review.,likes
en,38,2,the researcher loves the song during the review.,loves
en,39,-2,the artist hates this film during the review.,hates
en,39,-1,the artist dislikes this film during the review.,dislikes
en,39,0,the artist feels indifferent toward this film during the review.,indifferent
en,39,1,the artist likes this film during the review.,likes
en,39,2,the artist loves this film during the review.,loves
en,40,-2,the user hates the proposal after the meeting.,hates
en,40,-1,the user dislikes the proposal after the meeting.,dislikes
en,40,0,the user feels indifferent toward the proposal after the meeting.,indifferent
en,40,1,the user likes the proposal after the meeting.,likes
en,40,2,the user loves the proposal after the meeting.,loves
en,41,-2,the neighbor hates the design at the end.,hates
en,41,-1,the neighbor dislikes the design at the end.,dislikes
en,41,0,the neighbor feels indifferent toward the design at the end.,indifferent
en,41,1,the neighbor likes the design at the end.,likes
en,41,2,the neighbor loves the design at the end.,loves
en,42,-2,the teacher hates the song in private.,hates
en,42,-1,the teacher dislikes the song in private.,dislikes
en,42,0,the teacher feels indifferent toward the song in private.,indifferent
en,42,1,the teacher likes the song in private.,likes
en,42,2,the teacher loves the song in private.,loves
en,43,-2,she hates this system at the end.,hates
en,43,-1,she dislikes this system at the end.,dislikes
