model,source_set,prompt_style,control,question_rate,modality_rate,both_markers_rate,any_marker_rate,content_preserved_rate,question_and_preserved_rate,modality_and_preserved_rate,both_and_preserved_rate,mean_generated_chars,rows
gpt2,hard_out_of_template,copy_sentence,modality_only_late,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,132.35,40
gpt2,hard_out_of_template,copy_sentence,modality_then_question_layers,0.95,0.0,0.0,0.95,0.6,0.575,0.0,0.0,134.875,40
gpt2,hard_out_of_template,copy_sentence,none,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,128.875,40
gpt2,hard_out_of_template,copy_sentence,question_only_late,0.975,0.0,0.0,0.975,0.575,0.575,0.0,0.0,135.475,40
gpt2,hard_out_of_template,copy_sentence,question_plus_modality_late,0.9,0.0,0.0,0.9,0.55,0.5,0.0,0.0,134.25,40
gpt2,hard_out_of_template,copy_sentence,question_then_modality_layers,0.9,0.0,0.0,0.9,0.575,0.525,0.0,0.0,130.15,40
gpt2,hard_out_of_template,copy_sentence,random_sum_late,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,130.075,40
gpt2,hard_out_of_template,repeat_sentence,modality_only_late,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,140.725,40
gpt2,hard_out_of_template,repeat_sentence,modality_then_question_layers,0.9,0.0,0.0,0.9,0.725,0.65,0.0,0.0,135.05,40
gpt2,hard_out_of_template,repeat_sentence,none,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,137.55,40
gpt2,hard_out_of_template,repeat_sentence,question_only_late,0.925,0.0,0.0,0.925,0.725,0.675,0.0,0.0,131.8,40
gpt2,hard_out_of_template,repeat_sentence,question_plus_modality_late,0.9,0.0,0.0,0.9,0.725,0.65,0.0,0.0,134.55,40
gpt2,hard_out_of_template,repeat_sentence,question_then_modality_layers,0.9,0.0,0.0,0.9,0.725,0.65,0.0,0.0,133.525,40
gpt2,hard_out_of_template,repeat_sentence,random_sum_late,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,134.4,40
gpt2,hard_out_of_template,same_sentence,modality_only_late,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,127.325,40
gpt2,hard_out_of_template,same_sentence,modality_then_question_layers,0.95,0.0,0.0,0.95,0.775,0.75,0.0,0.0,134.975,40
gpt2,hard_out_of_template,same_sentence,none,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,128.25,40
gpt2,hard_out_of_template,same_sentence,question_only_late,0.975,0.0,0.0,0.975,0.775,0.775,0.0,0.0,133.8,40
gpt2,hard_out_of_template,same_sentence,question_plus_modality_late,0.95,0.0,0.0,0.95,0.775,0.75,0.0,0.0,135.575,40
gpt2,hard_out_of_template,same_sentence,question_then_modality_layers,0.95,0.0,0.0,0.95,0.725,0.675,0.0,0.0,136.175,40
gpt2,hard_out_of_template,same_sentence,random_sum_late,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,139.725,40
