model,base_id,syntax_family,class,source,target,delta_norm
distilroberta-base,0,simple_svo,negation,The student examined a beautiful painting.,The student did not examine a beautiful painting.,1.2580947875976562
distilroberta-base,0,simple_svo,question,The student examined a beautiful painting.,Did the student examine a beautiful painting?,1.5028409957885742
distilroberta-base,0,simple_svo,future,The student examined a beautiful painting.,The student will examine a beautiful painting.,1.0579768419265747
distilroberta-base,0,simple_svo,uncertainty,The student examined a beautiful painting.,The student may have examined a beautiful painting.,1.2811331748962402
distilroberta-base,0,simple_svo,passive,The student examined a beautiful painting.,A beautiful painting was examined by the student.,1.1317328214645386
distilroberta-base,0,simple_svo,formalization,The student examined a beautiful painting.,It is true that the student examined a beautiful painting.,1.6835623979568481
distilroberta-base,0,with_context,negation,The student examined a beautiful painting before the deadline.,The student did not examine a beautiful painting before the deadline.,0.9663991928100586
distilroberta-base,0,with_context,question,The student examined a beautiful painting before the deadline.,Did the student examine a beautiful painting before the deadline?,1.1692078113555908
distilroberta-base,0,with_context,future,The student examined a beautiful painting before the deadline.,The student will examine a beautiful painting before the deadline.,1.0173261165618896
distilroberta-base,0,with_context,uncertainty,The student examined a beautiful painting before the deadline.,The student may have examined a beautiful painting before the deadline.,0.9882350564002991
distilroberta-base,0,with_context,passive,The student examined a beautiful painting before the deadline.,A beautiful painting was examined by the student before the deadline.,0.8956056833267212
distilroberta-base,0,with_context,formalization,The student examined a beautiful painting before the deadline.,It is true that the student examined a beautiful painting before the deadline.,1.2748781442642212
distilroberta-base,0,relative_clause,negation,The person who examined a beautiful painting was the student.,The person who did not examine a beautiful painting was the student.,1.042299747467041
distilroberta-base,0,relative_clause,question,The person who examined a beautiful painting was the student.,Was the person who examined a beautiful painting the student?,1.2608314752578735
distilroberta-base,0,relative_clause,future,The person who examined a beautiful painting was the student.,The person who will examine a beautiful painting is the student.,1.440542221069336
distilroberta-base,0,relative_clause,uncertainty,The person who examined a beautiful painting was the student.,The person who may have examined a beautiful painting was the student.,0.9618796110153198
distilroberta-base,0,relative_clause,passive,The person who examined a beautiful painting was the student.,The person by whom a beautiful painting was examined was the student.,1.2040585279464722
distilroberta-base,0,relative_clause,formalization,The person who examined a beautiful painting was the student.,It is true that the person who examined a beautiful painting was the student.,1.3487528562545776
distilroberta-base,0,temporal_clause,negation,"After the student examined a beautiful painting, the situation changed.","After the student did not examine a beautiful painting, the situation changed.",0.8452965617179871
distilroberta-base,0,temporal_clause,question,"After the student examined a beautiful painting, the situation changed.",Did the situation change after the student examined a beautiful painting?,1.1944999694824219
distilroberta-base,0,temporal_clause,future,"After the student examined a beautiful painting, the situation changed.","After the student will examine a beautiful painting, the situation will change.",1.3563908338546753
distilroberta-base,0,temporal_clause,uncertainty,"After the student examined a beautiful painting, the situation changed.","After the student may have examined a beautiful painting, the situation changed.",0.8759112358093262
distilroberta-base,0,temporal_clause,passive,"After the student examined a beautiful painting, the situation changed.","After a beautiful painting was examined by the student, the situation changed.",0.7613587379455566
distilroberta-base,0,temporal_clause,formalization,"After the student examined a beautiful painting, the situation changed.","It is true that after the student examined a beautiful painting, the situation changed.",1.165306568145752
distilroberta-base,0,reported_statement,negation,The report said that the student examined a beautiful painting.,The report said that the student did not examine a beautiful painting.,0.863042414188385
distilroberta-base,0,reported_statement,question,The report said that the student examined a beautiful painting.,Did the report say that the student examined a beautiful painting?,1.2115886211395264
distilroberta-base,0,reported_statement,future,The report said that the student examined a beautiful painting.,The report said that the student will examine a beautiful painting.,0.7994571924209595
distilroberta-base,0,reported_statement,uncertainty,The report said that the student examined a beautiful painting.,The report said that the student may have examined a beautiful painting.,0.8384202718734741
distilroberta-base,0,reported_statement,passive,The report said that the student examined a beautiful painting.,The report said that a beautiful painting was examined by the student.,0.7756441831588745
distilroberta-base,0,reported_statement,formalization,The report said that the student examined a beautiful painting.,It is true that the report said that the student examined a beautiful painting.,1.109500765800476
distilroberta-base,0,conditional,negation,"If the student examined a beautiful painting, the result mattered.","If the student did not examine a beautiful painting, the result mattered.",0.818659782409668
distilroberta-base,0,conditional,question,"If the student examined a beautiful painting, the result mattered.",Did the result matter if the student examined a beautiful painting?,1.0319149494171143
distilroberta-base,0,conditional,future,"If the student examined a beautiful painting, the result mattered.","If the student will examine a beautiful painting, the result will matter.",1.2120931148529053
distilroberta-base,0,conditional,uncertainty,"If the student examined a beautiful painting, the result mattered.","If the student may have examined a beautiful painting, the result mattered.",0.871753454208374
distilroberta-base,0,conditional,passive,"If the student examined a beautiful painting, the result mattered.","If a beautiful painting was examined by the student, the result mattered.",0.7437893152236938
distilroberta-base,0,conditional,formalization,"If the student examined a beautiful painting, the result mattered.","It is true that if the student examined a beautiful painting, the result mattered.",1.1158044338226318
distilroberta-base,1,simple_svo,negation,The researcher created a beautiful painting.,The researcher did not create a beautiful painting.,1.3193482160568237
distilroberta-base,1,simple_svo,question,The researcher created a beautiful painting.,Did the researcher create a beautiful painting?,1.553115725517273
distilroberta-base,1,simple_svo,future,The researcher created a beautiful painting.,The researcher will create a beautiful painting.,1.0252737998962402
distilroberta-base,1,simple_svo,uncertainty,The researcher created a beautiful painting.,The researcher may have created a beautiful painting.,1.301569938659668
distilroberta-base,1,simple_svo,passive,The researcher created a beautiful painting.,A beautiful painting was created by the researcher.,1.1493364572525024
distilroberta-base,1,simple_svo,formalization,The researcher created a beautiful painting.,It is true that the researcher created a beautiful painting.,1.7033882141113281
distilroberta-base,1,with_context,negation,The researcher created a beautiful painting at the school.,The researcher did not create a beautiful painting at the school.,1.1892518997192383
distilroberta-base,1,with_context,question,The researcher created a beautiful painting at the school.,Did the researcher create a beautiful painting at the school?,1.294581651687622
distilroberta-base,1,with_context,future,The researcher created a beautiful painting at the school.,The researcher will create a beautiful painting at the school.,0.910332977771759
distilroberta-base,1,with_context,uncertainty,The researcher created a beautiful painting at the school.,The researcher may have created a beautiful painting at the school.,1.0820653438568115
distilroberta-base,1,with_context,passive,The researcher created a beautiful painting at the school.,A beautiful painting was created by the researcher at the school.,1.0320743322372437
distilroberta-base,1,with_context,formalization,The researcher created a beautiful painting at the school.,It is true that the researcher created a beautiful painting at the school.,1.303544282913208
distilroberta-base,1,relative_clause,negation,The person who created a beautiful painting was the researcher.,The person who did not create a beautiful painting was the researcher.,1.0690689086914062
distilroberta-base,1,relative_clause,question,The person who created a beautiful painting was the researcher.,Was the person who created a beautiful painting the researcher?,1.328170895576477
distilroberta-base,1,relative_clause,future,The person who created a beautiful painting was the researcher.,The person who will create a beautiful painting is the researcher.,1.4139362573623657
distilroberta-base,1,relative_clause,uncertainty,The person who created a beautiful painting was the researcher.,The person who may have created a beautiful painting was the researcher.,0.9576656222343445
distilroberta-base,1,relative_clause,passive,The person who created a beautiful painting was the researcher.,The person by whom a beautiful painting was created was the researcher.,1.1906890869140625
distilroberta-base,1,relative_clause,formalization,The person who created a beautiful painting was the researcher.,It is true that the person who created a beautiful painting was the researcher.,1.29352867603302
distilroberta-base,1,temporal_clause,negation,"After the researcher created a beautiful painting, the situation changed.","After the researcher did not create a beautiful painting, the situation changed.",0.8856282234191895
distilroberta-base,1,temporal_clause,question,"After the researcher created a beautiful painting, the situation changed.",Did the situation change after the researcher created a beautiful painting?,1.1508140563964844
distilroberta-base,1,temporal_clause,future,"After the researcher created a beautiful painting, the situation changed.","After the researcher will create a beautiful painting, the situation will change.",1.3595068454742432
distilroberta-base,1,temporal_clause,uncertainty,"After the researcher created a beautiful painting, the situation changed.","After the researcher may have created a beautiful painting, the situation changed.",0.915054202079773
distilroberta-base,1,temporal_clause,passive,"After the researcher created a beautiful painting, the situation changed.","After a beautiful painting was created by the researcher, the situation changed.",0.7159668207168579
distilroberta-base,1,temporal_clause,formalization,"After the researcher created a beautiful painting, the situation changed.","It is true that after the researcher created a beautiful painting, the situation changed.",1.1596235036849976
distilroberta-base,1,reported_statement,negation,The report said that the researcher created a beautiful painting.,The report said that the researcher did not create a beautiful painting.,0.911401629447937
distilroberta-base,1,reported_statement,question,The report said that the researcher created a beautiful painting.,Did the report say that the researcher created a beautiful painting?,1.2794957160949707
distilroberta-base,1,reported_statement,future,The report said that the researcher created a beautiful painting.,The report said that the researcher will create a beautiful painting.,0.8396595120429993
distilroberta-base,1,reported_statement,uncertainty,The report said that the researcher created a beautiful painting.,The report said that the researcher may have created a beautiful painting.,0.8747249245643616
distilroberta-base,1,reported_statement,passive,The report said that the researcher created a beautiful painting.,The report said that a beautiful painting was created by the researcher.,0.7776303291320801
distilroberta-base,1,reported_statement,formalization,The report said that the researcher created a beautiful painting.,It is true that the report said that the researcher created a beautiful painting.,1.1593140363693237
distilroberta-base,1,conditional,negation,"If the researcher created a beautiful painting, the result mattered.","If the researcher did not create a beautiful painting, the result mattered.",0.8291659355163574
distilroberta-base,1,conditional,question,"If the researcher created a beautiful painting, the result mattered.",Did the result matter if the researcher created a beautiful painting?,1.0570257902145386
distilroberta-base,1,conditional,future,"If the researcher created a beautiful painting, the result mattered.","If the researcher will create a beautiful painting, the result will matter.",1.224023699760437
distilroberta-base,1,conditional,uncertainty,"If the researcher created a beautiful painting, the result mattered.","If the researcher may have created a beautiful painting, the result mattered.",0.8778007626533508
