base_id,subject,S,past,base,object,O,context
0,the student,The student,examined,examine,a beautiful painting,A beautiful painting,before the deadline
1,the researcher,The researcher,created,create,a beautiful painting,A beautiful painting,at the school
2,the artist,The artist,measured,measure,the client,The client,after the interview
3,the analyst,The analyst,found,find,a short story,A short story,after the interview
4,the designer,The designer,created,create,the system,The system,during the meeting
5,the analyst,The analyst,solved,solve,the signal,The signal,in the laboratory
6,the chef,The chef,observed,observe,the patient,The patient,before the deadline
7,the pilot,The pilot,reported,report,the patient,The patient,before the deadline
8,the musician,The musician,approved,approve,the experiment,The experiment,during the experiment
9,the student,The student,created,create,the garden,The garden,during the meeting
10,the teacher,The teacher,analyzed,analyze,the family,The family,before the presentation
11,the musician,The musician,found,find,the patient,The patient,after the interview
12,the student,The student,reported,report,the garden,The garden,before the deadline
13,the doctor,The doctor,reported,report,the problem,The problem,during the experiment
14,the chef,The chef,approved,approve,a complex machine,A complex machine,during the experiment
15,the researcher,The researcher,created,create,the decision,The decision,at the school
16,the artist,The artist,reported,report,the garden,The garden,at the school
17,the musician,The musician,tested,test,the data,The data,before the presentation
18,the researcher,The researcher,wrote,write,the system,The system,before the presentation
19,the nurse,The nurse,built,build,the data,The data,at the school
20,the writer,The writer,solved,solve,the garden,The garden,at the school
21,the doctor,The doctor,studied,study,a black cat,A black cat,after the interview
22,the scientist,The scientist,designed,design,the data,The data,in the laboratory
23,the lawyer,The lawyer,helped,help,the system,The system,before the presentation
24,the teacher,The teacher,studied,study,the family,The family,after the discussion
25,the musician,The musician,prepared,prepare,the signal,The signal,after the discussion
26,the artist,The artist,built,build,a short story,A short story,after the interview
27,the journalist,The journalist,found,find,the signal,The signal,before the deadline
28,the child,The child,designed,design,the decision,The decision,before the deadline
29,the manager,The manager,prepared,prepare,the experiment,The experiment,at the school
30,the musician,The musician,created,create,the document,The document,in the laboratory
31,the programmer,The programmer,reported,report,the rule,The rule,after the interview
32,the writer,The writer,improved,improve,a beautiful painting,A beautiful painting,after the interview
33,the manager,The manager,analyzed,analyze,the document,The document,during the meeting
34,the researcher,The researcher,solved,solve,the garden,The garden,at the school
35,the pilot,The pilot,improved,improve,a beautiful painting,A beautiful painting,during the experiment
36,the writer,The writer,improved,improve,the patient,The patient,during the meeting
37,the teacher,The teacher,wrote,write,a short story,A short story,after the discussion
38,the artist,The artist,examined,examine,the document,The document,during the experiment
39,the musician,The musician,designed,design,a short story,A short story,during the meeting
40,the doctor,The doctor,observed,observe,the document,The document,before the deadline
41,the farmer,The farmer,defended,defend,the signal,The signal,during the meeting
42,the chef,The chef,improved,improve,the patient,The patient,during the experiment
43,the artist,The artist,solved,solve,a new principle,A new principle,before the presentation
44,the nurse,The nurse,analyzed,analyze,the patient,The patient,after the discussion
45,the child,The child,measured,measure,a new principle,A new principle,during the experiment
46,the student,The student,improved,improve,the family,The family,before the deadline
47,the nurse,The nurse,solved,solve,the event,The event,after the discussion
48,the artist,The artist,tested,test,the data,The data,during the meeting
49,the nurse,The nurse,observed,observe,the rule,The rule,during the meeting
50,the manager,The manager,discovered,discover,a complex machine,A complex machine,in the laboratory
51,the artist,The artist,observed,observe,the decision,The decision,during the meeting
52,the designer,The designer,solved,solve,the problem,The problem,during the meeting
53,the student,The student,created,create,a black cat,A black cat,during the meeting
54,the researcher,The researcher,measured,measure,the garden,The garden,after the discussion
55,the writer,The writer,built,build,the document,The document,before the presentation
56,the lawyer,The lawyer,prepared,prepare,a black cat,A black cat,before the presentation
57,the lawyer,The lawyer,created,create,the signal,The signal,after the interview
58,the nurse,The nurse,discovered,discover,a short story,A short story,during the experiment
59,the lawyer,The lawyer,observed,observe,the family,The family,during the experiment
60,the chef,The chef,wrote,write,the experiment,The experiment,during the experiment
61,the researcher,The researcher,explained,explain,the system,The system,before the presentation
62,the chef,The chef,solved,solve,the problem,The problem,during the experiment
63,the researcher,The researcher,helped,help,the patient,The patient,before the deadline
64,the analyst,The analyst,observed,observe,the system,The system,after the interview
65,the musician,The musician,explained,explain,a short story,A short story,in the laboratory
66,the programmer,The programmer,reported,report,a new principle,A new principle,during the experiment
67,the journalist,The journalist,discovered,discover,the rule,The rule,before the presentation
68,the journalist,The journalist,wrote,write,the family,The family,at the school
69,the farmer,The farmer,defended,defend,the decision,The decision,during the experiment
70,the teacher,The teacher,analyzed,analyze,a short story,A short story,during the experiment
71,the musician,The musician,tested,test,the event,The event,during the meeting
72,the journalist,The journalist,tested,test,the family,The family,after the interview
73,the designer,The designer,wrote,write,the garden,The garden,in the laboratory
74,the farmer,The farmer,studied,study,the system,The system,during the experiment
75,the nurse,The nurse,found,find,the data,The data,at the school
76,the teacher,The teacher,defended,defend,the decision,The decision,after the discussion
77,the engineer,The engineer,defended,defend,the rule,The rule,after the interview
