model,template_id,pair,a,b,comm_norm,antisym_error,relative_antisym_error,cos_comm_ab_neg_comm_ba
distilroberta-base,0,NQ_vs_QN,N,Q,1.4138095378875732,0.0,0.0,1.0
distilroberta-base,0,NM_vs_MN,N,M,1.27557373046875,0.0,0.0,0.9999999403953552
distilroberta-base,0,NT_vs_TN,N,T,1.3863121271133423,0.0,0.0,1.0
distilroberta-base,0,QM_vs_MQ,Q,M,1.3790065050125122,0.0,0.0,0.9999998807907104
distilroberta-base,0,QT_vs_TQ,Q,T,0.6305286288261414,0.0,0.0,0.9999999403953552
distilroberta-base,0,MT_vs_TM,M,T,1.333347201347351,0.0,0.0,0.9999999403953552
distilroberta-base,1,NQ_vs_QN,N,Q,1.3004878759384155,0.0,0.0,1.0000001192092896
distilroberta-base,1,NM_vs_MN,N,M,1.1151680946350098,0.0,0.0,1.0
distilroberta-base,1,NT_vs_TN,N,T,1.2414662837982178,0.0,0.0,1.0000001192092896
distilroberta-base,1,QM_vs_MQ,Q,M,1.2334915399551392,0.0,0.0,1.0
distilroberta-base,1,QT_vs_TQ,Q,T,0.6728019714355469,0.0,0.0,1.0
distilroberta-base,1,MT_vs_TM,M,T,1.2089191675186157,0.0,0.0,1.000000238418579
distilroberta-base,2,NQ_vs_QN,N,Q,1.4130736589431763,0.0,0.0,1.0
distilroberta-base,2,NM_vs_MN,N,M,1.1782156229019165,0.0,0.0,1.0000001192092896
distilroberta-base,2,NT_vs_TN,N,T,1.3172777891159058,0.0,0.0,0.9999998807907104
distilroberta-base,2,QM_vs_MQ,Q,M,1.267564058303833,0.0,0.0,1.0
distilroberta-base,2,QT_vs_TQ,Q,T,0.6423079371452332,0.0,0.0,1.0
distilroberta-base,2,MT_vs_TM,M,T,1.2998830080032349,0.0,0.0,1.0
distilroberta-base,3,NQ_vs_QN,N,Q,1.521373987197876,0.0,0.0,1.0000001192092896
distilroberta-base,3,NM_vs_MN,N,M,1.3127120733261108,0.0,0.0,1.0
distilroberta-base,3,NT_vs_TN,N,T,1.4530268907546997,0.0,0.0,0.9999999403953552
distilroberta-base,3,QM_vs_MQ,Q,M,1.5055729150772095,0.0,0.0,0.9999997615814209
distilroberta-base,3,QT_vs_TQ,Q,T,0.6338093876838684,0.0,0.0,1.0
distilroberta-base,3,MT_vs_TM,M,T,1.36110520362854,0.0,0.0,0.9999999403953552
distilroberta-base,4,NQ_vs_QN,N,Q,1.507441759109497,0.0,0.0,1.0
distilroberta-base,4,NM_vs_MN,N,M,1.2564435005187988,0.0,0.0,1.0
distilroberta-base,4,NT_vs_TN,N,T,1.456596851348877,0.0,0.0,0.9999999403953552
distilroberta-base,4,QM_vs_MQ,Q,M,1.3329726457595825,0.0,0.0,1.0000001192092896
distilroberta-base,4,QT_vs_TQ,Q,T,0.6058300137519836,0.0,0.0,1.0
distilroberta-base,4,MT_vs_TM,M,T,1.3626811504364014,0.0,0.0,1.0
distilroberta-base,5,NQ_vs_QN,N,Q,1.3954821825027466,0.0,0.0,1.0
distilroberta-base,5,NM_vs_MN,N,M,1.1256614923477173,0.0,0.0,1.0
distilroberta-base,5,NT_vs_TN,N,T,1.33389413356781,0.0,0.0,1.0
distilroberta-base,5,QM_vs_MQ,Q,M,1.3049712181091309,0.0,0.0,0.9999998807907104
distilroberta-base,5,QT_vs_TQ,Q,T,0.6597055792808533,0.0,0.0,1.0000001192092896
distilroberta-base,5,MT_vs_TM,M,T,1.4353474378585815,0.0,0.0,1.0
distilroberta-base,6,NQ_vs_QN,N,Q,1.4996507167816162,0.0,0.0,1.0
distilroberta-base,6,NM_vs_MN,N,M,1.2817251682281494,0.0,0.0,1.000000238418579
distilroberta-base,6,NT_vs_TN,N,T,1.3385190963745117,0.0,0.0,0.9999998807907104
distilroberta-base,6,QM_vs_MQ,Q,M,1.4235453605651855,0.0,0.0,0.9999998807907104
distilroberta-base,6,QT_vs_TQ,Q,T,0.6546851396560669,0.0,0.0,1.0
distilroberta-base,6,MT_vs_TM,M,T,1.3231780529022217,0.0,0.0,0.9999998807907104
