model,early_layer,late_layer,gain,op_a_name,op_a_suffix,op_b_name,op_b_suffix,source_set,source,prompt_style,control,generated,a_marker_hit,b_marker_hit,both_markers_hit,any_marker_hit,content_preserved,a_and_preserved,b_and_preserved,both_and_preserved,generated_chars
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,The sample was collected by Maria in Paris.,repeat_sentence,none,"The sample was collected by Maria in Paris.
The sample was collected by Maria in Paris.
The sample was collected by Maria in",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,124.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,The sample was collected by Maria in Paris.,repeat_sentence,a_only_late,"The sample was collected by Maria in Paris.
The sample was collected by Maria in Paris?
The sample was collected by Maria in",1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,124.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,The sample was collected by Maria in Paris.,repeat_sentence,b_only_late,"The sample was collected by Maria in Paris.
The sample was collected by Maria in Paris!
The sample was collected by Maria in",0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,124.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,The sample was collected by Maria in Paris.,repeat_sentence,a_plus_b_late,"The sample was collected by Maria in Paris!

The sample was collected by Maria in Paris!

The sample was!",0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,105.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,The sample was collected by Maria in Paris.,repeat_sentence,a_then_b_layers,"The sample was collected by Maria in Paris in Paris in Paris!

The sample was collected by Maria in Paris!",0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,106.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,The sample was collected by Maria in Paris.,repeat_sentence,b_then_a_layers,"The sample was collected by Maria in Paris in Paris?

The sample was collected by Maria in Paris in Paris?",1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,106.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,The sample was collected by Maria in Paris.,repeat_sentence,random_sum_late,"The phrase is a recent development.
The phrase has a recent use (please click here to subscribe).
The phrase has a recent use",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,The sample was collected by Maria in Paris.,copy_sentence,none,"Maria in Paris.
The sample was collected by Maria in Paris.
The sample was collected by Maria in Paris.
The sample was",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,118.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,The sample was collected by Maria in Paris.,copy_sentence,a_only_late,"The sample was collected by Maria in Paris.
The sample was collected by Maria in Paris?
The sample was collected by Maria in",1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,124.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,The sample was collected by Maria in Paris.,copy_sentence,b_only_late,"The sample was collected by Maria in Paris.
The sample was collected by Maria in Paris!
The sample was collected by Maria in",0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,124.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,The sample was collected by Maria in Paris.,copy_sentence,a_plus_b_late,"The sample was collected by Maria in Paris?

The sample was collected by Maria in Paris?

The sample was collected",1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,114.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,The sample was collected by Maria in Paris.,copy_sentence,a_then_b_layers,"The sample was collected by Maria in Paris!

The sample was collected by Maria in Paris!

The sample was collected",0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,114.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,The sample was collected by Maria in Paris.,copy_sentence,b_then_a_layers,"The sample was collected by Maria in Paris?

The sample was collected by Maria in Paris?

The sample was collected",1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,114.0
