model,template_id,pair,op_a,op_b,source,ab_text,ba_text,norm_ab,norm_ba,commutator_norm,relative_commutator_norm,cosine_ab_ba,noncommutativity_score
gpt2,0,NQ_vs_QN,N,Q,The teacher fixed the bug.,Could the teacher fail to fix the bug?,Is it false that the teacher fixed the bug?,28.355859756469727,25.795961380004883,12.057231903076172,0.4453121483278956,0.9051059484481812,0.09489405155181885
gpt2,0,NM_vs_MN,N,M,The teacher fixed the bug.,The teacher allegedly failed to fix the bug.,The teacher failed to allegedly fix the bug.,27.036291122436523,31.701702117919922,5.770284175872803,0.19647535973047453,0.9932738542556763,0.0067261457443237305
gpt2,0,NT_vs_TN,N,T,The teacher fixed the bug.,The teacher will fail to fix the bug tomorrow.,The teacher failed to have fixed the bug earlier.,49.31890869140625,24.499774932861328,25.85120391845703,0.7003973154015404,0.9783599376678467,0.02164006233215332
gpt2,0,QM_vs_MQ,Q,M,The teacher fixed the bug.,Could the teacher allegedly fix the bug?,Is it alleged that the teacher fixed the bug?,24.89444923400879,21.24077796936035,12.2491455078125,0.5310105206078815,0.870746910572052,0.129253089427948
gpt2,0,QT_vs_TQ,Q,T,The teacher fixed the bug.,Could the teacher fix the bug tomorrow?,Will the teacher fix the bug tomorrow?,11.414413452148438,12.152615547180176,3.4736266136169434,0.29478697664568637,0.9584718942642212,0.04152810573577881
gpt2,0,MT_vs_TM,M,T,The teacher fixed the bug.,The teacher will allegedly fix the bug tomorrow.,The teacher was allegedly going to fix the bug.,43.979393005371094,37.35202407836914,11.448972702026367,0.2815387488020287,0.9734717607498169,0.026528239250183105
gpt2,1,NQ_vs_QN,N,Q,The robot accepted the explanation.,Could the robot fail to accept the explanation?,Is it false that the robot accepted the explanation?,33.9556999206543,32.14052200317383,11.10195255279541,0.3359330451773597,0.9450414180755615,0.05495858192443848
gpt2,1,NM_vs_MN,N,M,The robot accepted the explanation.,The robot allegedly failed to accept the explanation.,The robot failed to allegedly accept the explanation.,30.198074340820312,37.44206619262695,8.600393295288086,0.2542985046293639,0.9904963374137878,0.009503662586212158
gpt2,1,NT_vs_TN,N,T,The robot accepted the explanation.,The robot will fail to accept the explanation tomorrow.,The robot failed to have accepted the explanation earlier.,51.1844367980957,27.794382095336914,24.059192657470703,0.6092568360621737,0.98884117603302,0.01115882396697998
gpt2,1,QM_vs_MQ,Q,M,The robot accepted the explanation.,Could the robot allegedly accept the explanation?,Is it alleged that the robot accepted the explanation?,28.515308380126953,26.539024353027344,12.079848289489746,0.4388337008111515,0.9061687588691711,0.09383124113082886
gpt2,1,QT_vs_TQ,Q,T,The robot accepted the explanation.,Could the robot accept the explanation tomorrow?,Will the robot accept the explanation tomorrow?,18.503761291503906,17.521860122680664,3.1324069499969482,0.17389884349161758,0.9863553047180176,0.013644695281982422
gpt2,1,MT_vs_TM,M,T,The robot accepted the explanation.,The robot will allegedly accept the explanation tomorrow.,The robot was allegedly going to accept the explanation.,42.46080017089844,40.96794509887695,8.866085052490234,0.212542691941983,0.9780462384223938,0.0219537615776062
gpt2,2,NQ_vs_QN,N,Q,The dragon confirmed the answer.,Could the dragon fail to confirm the answer?,Is it false that the dragon confirmed the answer?,31.088321685791016,31.336671829223633,9.791313171386719,0.31369849222431617,0.9508275985717773,0.049172401428222656
gpt2,2,NM_vs_MN,N,M,The dragon confirmed the answer.,The dragon allegedly failed to confirm the answer.,The dragon failed to allegedly confirm the answer.,34.131446838378906,35.40291213989258,5.355326175689697,0.15403395542520232,0.9888017177581787,0.011198282241821289
gpt2,2,NT_vs_TN,N,T,The dragon confirmed the answer.,The dragon will fail to confirm the answer tomorrow.,The dragon failed to have confirmed the answer earlier.,56.608158111572266,27.045185089111328,30.29770278930664,0.7243632263834814,0.9856361150741577,0.014363884925842285
gpt2,2,QM_vs_MQ,Q,M,The dragon confirmed the answer.,Could the dragon allegedly confirm the answer?,Is it alleged that the dragon confirmed the answer?,28.27117919921875,25.885662078857422,10.883854866027832,0.40193831874878727,0.9229539036750793,0.07704609632492065
gpt2,2,QT_vs_TQ,Q,T,The dragon confirmed the answer.,Could the dragon confirm the answer tomorrow?,Will the dragon confirm the answer tomorrow?,18.539106369018555,19.59486961364746,4.835679054260254,0.25361525671795054,0.9693490862846375,0.03065091371536255
