model,scale,language,template_id,representation,from_level,to_level,step_size,delta_norm
xlm-roberta-base,affect,en,0,mean_pool,-2,-1,1,0.7127082347869873
xlm-roberta-base,affect,en,0,mean_pool,-1,0,1,0.8642676472663879
xlm-roberta-base,affect,en,0,mean_pool,0,1,1,1.0364995002746582
xlm-roberta-base,affect,en,0,mean_pool,1,2,1,0.3253422975540161
xlm-roberta-base,affect,en,0,mean_pool,-2,0,2,1.20164954662323
xlm-roberta-base,affect,en,0,mean_pool,-1,1,2,0.5861875414848328
xlm-roberta-base,affect,en,0,mean_pool,0,2,2,1.1537054777145386
xlm-roberta-base,affect,en,0,mean_pool,-2,2,4,0.4976157546043396
xlm-roberta-base,affect,en,1,mean_pool,-2,-1,1,0.47501733899116516
xlm-roberta-base,affect,en,1,mean_pool,-1,0,1,0.9021635055541992
xlm-roberta-base,affect,en,1,mean_pool,0,1,1,0.8594098091125488
xlm-roberta-base,affect,en,1,mean_pool,1,2,1,0.23676438629627228
xlm-roberta-base,affect,en,1,mean_pool,-2,0,2,0.9814671874046326
xlm-roberta-base,affect,en,1,mean_pool,-1,1,2,0.4480173885822296
xlm-roberta-base,affect,en,1,mean_pool,0,2,2,0.8701156377792358
xlm-roberta-base,affect,en,1,mean_pool,-2,2,4,0.4260123372077942
xlm-roberta-base,affect,en,2,mean_pool,-2,-1,1,0.6555405259132385
xlm-roberta-base,affect,en,2,mean_pool,-1,0,1,0.8045950531959534
xlm-roberta-base,affect,en,2,mean_pool,0,1,1,0.8718565106391907
xlm-roberta-base,affect,en,2,mean_pool,1,2,1,0.3794727921485901
xlm-roberta-base,affect,en,2,mean_pool,-2,0,2,1.0384677648544312
xlm-roberta-base,affect,en,2,mean_pool,-1,1,2,0.5146328210830688
xlm-roberta-base,affect,en,2,mean_pool,0,2,2,1.0505515336990356
xlm-roberta-base,affect,en,2,mean_pool,-2,2,4,0.5179974436759949
xlm-roberta-base,affect,en,3,mean_pool,-2,-1,1,0.5505550503730774
xlm-roberta-base,affect,en,3,mean_pool,-1,0,1,0.6032813787460327
xlm-roberta-base,affect,en,3,mean_pool,0,1,1,0.7775362730026245
xlm-roberta-base,affect,en,3,mean_pool,1,2,1,0.25627437233924866
xlm-roberta-base,affect,en,3,mean_pool,-2,0,2,0.8602234125137329
xlm-roberta-base,affect,en,3,mean_pool,-1,1,2,0.4549136161804199
xlm-roberta-base,affect,en,3,mean_pool,0,2,2,0.7952454090118408
xlm-roberta-base,affect,en,3,mean_pool,-2,2,4,0.40832123160362244
xlm-roberta-base,affect,en,4,mean_pool,-2,-1,1,0.6078864932060242
xlm-roberta-base,affect,en,4,mean_pool,-1,0,1,0.6753450632095337
xlm-roberta-base,affect,en,4,mean_pool,0,1,1,0.862409770488739
xlm-roberta-base,affect,en,4,mean_pool,1,2,1,0.21415133774280548
xlm-roberta-base,affect,en,4,mean_pool,-2,0,2,1.0348236560821533
xlm-roberta-base,affect,en,4,mean_pool,-1,1,2,0.4567013680934906
xlm-roberta-base,affect,en,4,mean_pool,0,2,2,0.8859313726425171
xlm-roberta-base,affect,en,4,mean_pool,-2,2,4,0.4163271188735962
xlm-roberta-base,affect,en,5,mean_pool,-2,-1,1,0.5109195113182068
xlm-roberta-base,affect,en,5,mean_pool,-1,0,1,0.7586546540260315
xlm-roberta-base,affect,en,5,mean_pool,0,1,1,0.9225540161132812
xlm-roberta-base,affect,en,5,mean_pool,1,2,1,0.27790743112564087
xlm-roberta-base,affect,en,5,mean_pool,-2,0,2,1.0262666940689087
xlm-roberta-base,affect,en,5,mean_pool,-1,1,2,0.38788098096847534
xlm-roberta-base,affect,en,5,mean_pool,0,2,2,0.8408424258232117
xlm-roberta-base,affect,en,5,mean_pool,-2,2,4,0.4228709936141968
xlm-roberta-base,affect,en,6,mean_pool,-2,-1,1,0.5809114575386047
xlm-roberta-base,affect,en,6,mean_pool,-1,0,1,0.9090542793273926
xlm-roberta-base,affect,en,6,mean_pool,0,1,1,0.9589412212371826
xlm-roberta-base,affect,en,6,mean_pool,1,2,1,0.30056723952293396
xlm-roberta-base,affect,en,6,mean_pool,-2,0,2,1.0961092710494995
xlm-roberta-base,affect,en,6,mean_pool,-1,1,2,0.4757138192653656
xlm-roberta-base,affect,en,6,mean_pool,0,2,2,1.0815081596374512
xlm-roberta-base,affect,en,6,mean_pool,-2,2,4,0.46445903182029724
xlm-roberta-base,affect,en,7,mean_pool,-2,-1,1,0.4746967852115631
xlm-roberta-base,affect,en,7,mean_pool,-1,0,1,0.6447769403457642
xlm-roberta-base,affect,en,7,mean_pool,0,1,1,0.7618231177330017
xlm-roberta-base,affect,en,7,mean_pool,1,2,1,0.23901236057281494
xlm-roberta-base,affect,en,7,mean_pool,-2,0,2,0.8185980319976807
xlm-roberta-base,affect,en,7,mean_pool,-1,1,2,0.4182787239551544
xlm-roberta-base,affect,en,7,mean_pool,0,2,2,0.7967367768287659
xlm-roberta-base,affect,en,7,mean_pool,-2,2,4,0.31655770540237427
xlm-roberta-base,affect,en,8,mean_pool,-2,-1,1,0.5716897249221802
xlm-roberta-base,affect,en,8,mean_pool,-1,0,1,0.6538707613945007
xlm-roberta-base,affect,en,8,mean_pool,0,1,1,0.8761873841285706
xlm-roberta-base,affect,en,8,mean_pool,1,2,1,0.25170716643333435
xlm-roberta-base,affect,en,8,mean_pool,-2,0,2,1.0158753395080566
xlm-roberta-base,affect,en,8,mean_pool,-1,1,2,0.4331611394882202
xlm-roberta-base,affect,en,8,mean_pool,0,2,2,0.9384068250656128
xlm-roberta-base,affect,en,8,mean_pool,-2,2,4,0.3792358934879303
xlm-roberta-base,affect,en,9,mean_pool,-2,-1,1,0.48601189255714417
xlm-roberta-base,affect,en,9,mean_pool,-1,0,1,0.7240638136863708
xlm-roberta-base,affect,en,9,mean_pool,0,1,1,0.8592219352722168
xlm-roberta-base,affect,en,9,mean_pool,1,2,1,0.20544612407684326
xlm-roberta-base,affect,en,9,mean_pool,-2,0,2,0.9429255723953247
xlm-roberta-base,affect,en,9,mean_pool,-1,1,2,0.3816145658493042
xlm-roberta-base,affect,en,9,mean_pool,0,2,2,0.8843712210655212
xlm-roberta-base,affect,en,9,mean_pool,-2,2,4,0.3575632572174072
xlm-roberta-base,affect,en,10,mean_pool,-2,-1,1,0.748550534248352
xlm-roberta-base,affect,en,10,mean_pool,-1,0,1,0.8570993542671204
xlm-roberta-base,affect,en,10,mean_pool,0,1,1,1.0580919981002808
xlm-roberta-base,affect,en,10,mean_pool,1,2,1,0.3196798264980316
xlm-roberta-base,affect,en,10,mean_pool,-2,0,2,1.113410234451294
xlm-roberta-base,affect,en,10,mean_pool,-1,1,2,0.7205663323402405
xlm-roberta-base,affect,en,10,mean_pool,0,2,2,1.0490453243255615
xlm-roberta-base,affect,en,10,mean_pool,-2,2,4,0.5672717094421387
xlm-roberta-base,affect,en,11,mean_pool,-2,-1,1,0.5812537670135498
xlm-roberta-base,affect,en,11,mean_pool,-1,0,1,0.6996408104896545
xlm-roberta-base,affect,en,11,mean_pool,0,1,1,0.8941389918327332
xlm-roberta-base,affect,en,11,mean_pool,1,2,1,0.2881098985671997
xlm-roberta-base,affect,en,11,mean_pool,-2,0,2,1.044702172279358
xlm-roberta-base,affect,en,11,mean_pool,-1,1,2,0.44365835189819336
xlm-roberta-base,affect,en,11,mean_pool,0,2,2,0.9996275305747986
xlm-roberta-base,affect,en,11,mean_pool,-2,2,4,0.45297521352767944
xlm-roberta-base,affect,en,12,mean_pool,-2,-1,1,0.6532678008079529
xlm-roberta-base,affect,en,12,mean_pool,-1,0,1,0.7430738210678101
xlm-roberta-base,affect,en,12,mean_pool,0,1,1,1.0529561042785645
xlm-roberta-base,affect,en,12,mean_pool,1,2,1,0.31090599298477173
xlm-roberta-base,affect,en,12,mean_pool,-2,0,2,1.1084721088409424
xlm-roberta-base,affect,en,12,mean_pool,-1,1,2,0.532626211643219
xlm-roberta-base,affect,en,12,mean_pool,0,2,2,0.9446525573730469
xlm-roberta-base,affect,en,12,mean_pool,-2,2,4,0.3990474343299866
xlm-roberta-base,affect,en,13,mean_pool,-2,-1,1,0.44743460416793823
xlm-roberta-base,affect,en,13,mean_pool,-1,0,1,0.5816187262535095
xlm-roberta-base,affect,en,13,mean_pool,0,1,1,0.7355635762214661
xlm-roberta-base,affect,en,13,mean_pool,1,2,1,0.24397675693035126
