model,language,template_id,representation,from_level,to_level,step_size,delta_norm
intfloat/multilingual-e5-large,en,0,mean_pool,-2,-1,1,3.9378111362457275
intfloat/multilingual-e5-large,en,0,mean_pool,-1,0,1,8.155817031860352
intfloat/multilingual-e5-large,en,0,mean_pool,0,1,1,12.842905044555664
intfloat/multilingual-e5-large,en,0,mean_pool,1,2,1,4.660168170928955
intfloat/multilingual-e5-large,en,0,mean_pool,-2,0,2,8.487996101379395
intfloat/multilingual-e5-large,en,0,mean_pool,-1,1,2,12.313043594360352
intfloat/multilingual-e5-large,en,0,mean_pool,0,2,2,13.494690895080566
intfloat/multilingual-e5-large,en,0,mean_pool,-2,2,4,13.08193302154541
intfloat/multilingual-e5-large,en,1,mean_pool,-2,-1,1,4.107067584991455
intfloat/multilingual-e5-large,en,1,mean_pool,-1,0,1,8.943781852722168
intfloat/multilingual-e5-large,en,1,mean_pool,0,1,1,12.78084659576416
intfloat/multilingual-e5-large,en,1,mean_pool,1,2,1,5.052685260772705
intfloat/multilingual-e5-large,en,1,mean_pool,-2,0,2,9.579927444458008
intfloat/multilingual-e5-large,en,1,mean_pool,-1,1,2,11.942766189575195
intfloat/multilingual-e5-large,en,1,mean_pool,0,2,2,13.419975280761719
intfloat/multilingual-e5-large,en,1,mean_pool,-2,2,4,12.533435821533203
intfloat/multilingual-e5-large,en,2,mean_pool,-2,-1,1,4.439762592315674
intfloat/multilingual-e5-large,en,2,mean_pool,-1,0,1,8.787376403808594
intfloat/multilingual-e5-large,en,2,mean_pool,0,1,1,10.57012939453125
intfloat/multilingual-e5-large,en,2,mean_pool,1,2,1,5.444443225860596
intfloat/multilingual-e5-large,en,2,mean_pool,-2,0,2,9.187159538269043
intfloat/multilingual-e5-large,en,2,mean_pool,-1,1,2,10.32559585571289
intfloat/multilingual-e5-large,en,2,mean_pool,0,2,2,12.231279373168945
intfloat/multilingual-e5-large,en,2,mean_pool,-2,2,4,11.953975677490234
intfloat/multilingual-e5-large,en,3,mean_pool,-2,-1,1,4.055477142333984
intfloat/multilingual-e5-large,en,3,mean_pool,-1,0,1,8.901433944702148
intfloat/multilingual-e5-large,en,3,mean_pool,0,1,1,13.65206241607666
intfloat/multilingual-e5-large,en,3,mean_pool,1,2,1,5.176281452178955
intfloat/multilingual-e5-large,en,3,mean_pool,-2,0,2,9.17081356048584
intfloat/multilingual-e5-large,en,3,mean_pool,-1,1,2,12.592938423156738
intfloat/multilingual-e5-large,en,3,mean_pool,0,2,2,14.194320678710938
intfloat/multilingual-e5-large,en,3,mean_pool,-2,2,4,13.499162673950195
intfloat/multilingual-e5-large,en,4,mean_pool,-2,-1,1,3.919503927230835
intfloat/multilingual-e5-large,en,4,mean_pool,-1,0,1,8.776615142822266
intfloat/multilingual-e5-large,en,4,mean_pool,0,1,1,13.451947212219238
intfloat/multilingual-e5-large,en,4,mean_pool,1,2,1,5.921875
intfloat/multilingual-e5-large,en,4,mean_pool,-2,0,2,9.138351440429688
intfloat/multilingual-e5-large,en,4,mean_pool,-1,1,2,12.544095993041992
intfloat/multilingual-e5-large,en,4,mean_pool,0,2,2,14.235686302185059
intfloat/multilingual-e5-large,en,4,mean_pool,-2,2,4,13.811613082885742
intfloat/multilingual-e5-large,en,5,mean_pool,-2,-1,1,3.8491597175598145
intfloat/multilingual-e5-large,en,5,mean_pool,-1,0,1,8.50779914855957
intfloat/multilingual-e5-large,en,5,mean_pool,0,1,1,12.836956977844238
intfloat/multilingual-e5-large,en,5,mean_pool,1,2,1,4.667410373687744
intfloat/multilingual-e5-large,en,5,mean_pool,-2,0,2,8.654339790344238
intfloat/multilingual-e5-large,en,5,mean_pool,-1,1,2,12.339456558227539
intfloat/multilingual-e5-large,en,5,mean_pool,0,2,2,13.523862838745117
intfloat/multilingual-e5-large,en,5,mean_pool,-2,2,4,13.17190933227539
intfloat/multilingual-e5-large,en,6,mean_pool,-2,-1,1,4.716394424438477
