model,ridge_alpha,heldout_language,method,operator,target_cosine,mse,n_test
bert-base-multilingual-cased,1.0,en,additive,N,0.8850167989730835,0.11268959939479828,160
bert-base-multilingual-cased,1.0,en,linear,N,0.6256849237181357,0.3192953832059594,160
bert-base-multilingual-cased,1.0,en,affine,N,0.6033965349197388,0.3442419469356537,160
bert-base-multilingual-cased,1.0,en,additive,Q,0.6897540092468262,0.28096097707748413,160
bert-base-multilingual-cased,1.0,en,linear,Q,0.47763725276518204,0.4489224432970807,160
bert-base-multilingual-cased,1.0,en,affine,Q,0.4734620153903961,0.47872471809387207,160
bert-base-multilingual-cased,1.0,en,additive,M,0.9121428728103638,0.08384208381175995,160
bert-base-multilingual-cased,1.0,en,linear,M,0.7746603628134208,0.19573618859278324,160
bert-base-multilingual-cased,1.0,en,affine,M,0.7816517353057861,0.19252514839172363,160
bert-base-multilingual-cased,1.0,en,additive,T,0.8324397206306458,0.15187440812587738,160
bert-base-multilingual-cased,1.0,en,linear,T,0.5908513574307002,0.3227050693145409,160
bert-base-multilingual-cased,1.0,en,affine,T,0.5875320434570312,0.3384004235267639,160
bert-base-multilingual-cased,1.0,es,additive,N,0.8550960421562195,0.10765683650970459,160
bert-base-multilingual-cased,1.0,es,linear,N,0.47347557186672623,0.45686512705465104,160
bert-base-multilingual-cased,1.0,es,affine,N,0.4546572268009186,0.49163132905960083,160
bert-base-multilingual-cased,1.0,es,additive,Q,0.7801157236099243,0.16925865411758423,160
bert-base-multilingual-cased,1.0,es,linear,Q,0.39795958861067804,0.42333998505574677,160
bert-base-multilingual-cased,1.0,es,affine,Q,0.4166339039802551,0.43031206727027893,160
bert-base-multilingual-cased,1.0,es,additive,M,0.877995491027832,0.08743571490049362,160
bert-base-multilingual-cased,1.0,es,linear,M,0.6426947145015595,0.2399118424590517,160
bert-base-multilingual-cased,1.0,es,affine,M,0.6370587944984436,0.2408311367034912,160
bert-base-multilingual-cased,1.0,es,additive,T,0.8415452837944031,0.12201949208974838,160
bert-base-multilingual-cased,1.0,es,linear,T,0.5312887085848566,0.33596937443079244,160
bert-base-multilingual-cased,1.0,es,affine,T,0.5052510499954224,0.3724556565284729,160
bert-base-multilingual-cased,1.0,fr,additive,N,0.8773603439331055,0.09529711306095123,160
bert-base-multilingual-cased,1.0,fr,linear,N,0.6391359363879655,0.329951738946601,160
bert-base-multilingual-cased,1.0,fr,affine,N,0.6284416913986206,0.3850887417793274,160
