model,template_id,pair,a,b,comm_norm,antisym_error,relative_antisym_error,cos_comm_ab_neg_comm_ba
bert-base-uncased,0,NQ_vs_QN,N,Q,3.9757754802703857,0.0,0.0,0.9999999403953552
bert-base-uncased,0,NM_vs_MN,N,M,2.486288547515869,0.0,0.0,1.0
bert-base-uncased,0,NT_vs_TN,N,T,4.621422290802002,0.0,0.0,1.0
bert-base-uncased,0,QM_vs_MQ,Q,M,4.511117458343506,0.0,0.0,0.9999998807907104
bert-base-uncased,0,QT_vs_TQ,Q,T,2.950941801071167,0.0,0.0,1.0000001192092896
bert-base-uncased,0,MT_vs_TM,M,T,3.868320941925049,0.0,0.0,1.0
bert-base-uncased,1,NQ_vs_QN,N,Q,4.544571399688721,0.0,0.0,1.0000001192092896
bert-base-uncased,1,NM_vs_MN,N,M,2.517119884490967,0.0,0.0,1.000000238418579
bert-base-uncased,1,NT_vs_TN,N,T,4.806840419769287,0.0,0.0,1.0
bert-base-uncased,1,QM_vs_MQ,Q,M,4.5033111572265625,0.0,0.0,1.0
bert-base-uncased,1,QT_vs_TQ,Q,T,3.3136556148529053,0.0,0.0,1.0
bert-base-uncased,1,MT_vs_TM,M,T,4.163384437561035,0.0,0.0,1.000000238418579
bert-base-uncased,2,NQ_vs_QN,N,Q,3.7196707725524902,0.0,0.0,1.0
bert-base-uncased,2,NM_vs_MN,N,M,2.042478322982788,0.0,0.0,1.0
bert-base-uncased,2,NT_vs_TN,N,T,4.427665710449219,0.0,0.0,1.0000001192092896
bert-base-uncased,2,QM_vs_MQ,Q,M,4.233651161193848,0.0,0.0,1.0
bert-base-uncased,2,QT_vs_TQ,Q,T,2.921408176422119,0.0,0.0,1.0
bert-base-uncased,2,MT_vs_TM,M,T,3.830947160720825,0.0,0.0,0.9999999403953552
bert-base-uncased,3,NQ_vs_QN,N,Q,4.002169132232666,0.0,0.0,1.0
bert-base-uncased,3,NM_vs_MN,N,M,1.96127450466156,0.0,0.0,1.0
bert-base-uncased,3,NT_vs_TN,N,T,5.459558010101318,0.0,0.0,0.9999998807907104
bert-base-uncased,3,QM_vs_MQ,Q,M,4.025928497314453,0.0,0.0,0.9999998807907104
bert-base-uncased,3,QT_vs_TQ,Q,T,3.2460477352142334,0.0,0.0,1.0
bert-base-uncased,3,MT_vs_TM,M,T,4.597938060760498,0.0,0.0,0.9999999403953552
bert-base-uncased,4,NQ_vs_QN,N,Q,4.006609916687012,0.0,0.0,0.9999998211860657
bert-base-uncased,4,NM_vs_MN,N,M,1.9700919389724731,0.0,0.0,0.9999999403953552
bert-base-uncased,4,NT_vs_TN,N,T,5.431830406188965,0.0,0.0,1.0
bert-base-uncased,4,QM_vs_MQ,Q,M,4.3871169090271,0.0,0.0,0.9999998807907104
bert-base-uncased,4,QT_vs_TQ,Q,T,3.1461679935455322,0.0,0.0,1.0000001192092896
bert-base-uncased,4,MT_vs_TM,M,T,4.145881175994873,0.0,0.0,0.9999998807907104
bert-base-uncased,5,NQ_vs_QN,N,Q,3.7857511043548584,0.0,0.0,0.9999998807907104
bert-base-uncased,5,NM_vs_MN,N,M,1.9246282577514648,0.0,0.0,0.9999998807907104
bert-base-uncased,5,NT_vs_TN,N,T,4.527689456939697,0.0,0.0,1.0
bert-base-uncased,5,QM_vs_MQ,Q,M,4.384431838989258,0.0,0.0,0.9999998807907104
bert-base-uncased,5,QT_vs_TQ,Q,T,2.953202247619629,0.0,0.0,1.0
bert-base-uncased,5,MT_vs_TM,M,T,4.142550945281982,0.0,0.0,1.0
bert-base-uncased,6,NQ_vs_QN,N,Q,4.433041572570801,0.0,0.0,0.9999999403953552
bert-base-uncased,6,NM_vs_MN,N,M,2.391831159591675,0.0,0.0,1.0000001192092896
bert-base-uncased,6,NT_vs_TN,N,T,5.46931791305542,0.0,0.0,0.9999999403953552
bert-base-uncased,6,QM_vs_MQ,Q,M,4.615383625030518,0.0,0.0,0.9999998807907104
bert-base-uncased,6,QT_vs_TQ,Q,T,3.167210102081299,0.0,0.0,0.9999999403953552
bert-base-uncased,6,MT_vs_TM,M,T,4.6272664070129395,0.0,0.0,0.9999999403953552
bert-base-uncased,7,NQ_vs_QN,N,Q,3.845867156982422,0.0,0.0,0.9999999403953552
bert-base-uncased,7,NM_vs_MN,N,M,2.425337791442871,0.0,0.0,0.9999997615814209
bert-base-uncased,7,NT_vs_TN,N,T,4.447970390319824,0.0,0.0,1.0000001192092896
bert-base-uncased,7,QM_vs_MQ,Q,M,4.457650184631348,0.0,0.0,1.0000001192092896
bert-base-uncased,7,QT_vs_TQ,Q,T,3.080536127090454,0.0,0.0,0.9999998807907104
bert-base-uncased,7,MT_vs_TM,M,T,4.317231178283691,0.0,0.0,0.9999998807907104
bert-base-uncased,8,NQ_vs_QN,N,Q,4.4272780418396,0.0,0.0,1.0000001192092896
bert-base-uncased,8,NM_vs_MN,N,M,3.201021432876587,0.0,0.0,1.0
bert-base-uncased,8,NT_vs_TN,N,T,5.180191993713379,0.0,0.0,1.0
bert-base-uncased,8,QM_vs_MQ,Q,M,4.286904335021973,0.0,0.0,1.0
bert-base-uncased,8,QT_vs_TQ,Q,T,2.9508888721466064,0.0,0.0,1.0
bert-base-uncased,8,MT_vs_TM,M,T,4.223094940185547,0.0,0.0,1.0
